freq_hz,coherence
0.000000,0.127710
0.488281,0.202037
0.976562,0.114411
1.464844,0.067120
1.953125,0.012834
2.441406,0.003174
2.929688,0.070782
3.417969,0.059194
3.906250,0.031968
4.394531,0.007031
4.882812,0.032306
5.371094,0.089022
5.859375,0.016602
6.347656,0.194061
6.835938,0.036212
7.324219,0.134004
7.812500,0.010774
8.300781,0.056751
8.789062,0.101562
9.277344,0.057095
9.765625,0.029169
10.253906,0.170304
10.742188,0.062118
11.230469,0.005704
11.718750,0.062707
12.207031,0.068471
12.695312,0.010998
13.183594,0.002017
13.671875,0.044520
14.160156,0.129088
14.648438,0.014816
15.136719,0.014203
15.625000,0.100730
16.113281,0.055262
16.601562,0.066318
17.089844,0.085486
17.578125,0.009450
18.066406,0.149232
18.554688,0.126243
19.042969,0.029437
19.531250,0.055146
20.019531,0.030827
20.507812,0.026181
20.996094,0.035601
21.484375,0.020678
21.972656,0.064433
22.460938,0.075001
22.949219,0.007085
23.437500,0.022619
23.925781,0.011404
24.414062,0.033963
24.902344,0.087622
25.390625,0.058500
25.878906,0.069167
26.367188,0.004107
26.855469,0.023826
27.343750,0.156179
27.832031,0.202460
28.320312,0.134704
28.808594,0.013660
29.296875,0.083788
29.785156,0.258327
30.273438,0.086692
30.761719,0.025453
31.250000,0.091748
31.738281,0.030181
32.226562,0.074654
32.714844,0.018346
33.203125,0.101128
33.691406,0.093251
34.179688,0.108196
34.667969,0.019080
35.156250,0.025952
35.644531,0.081438
36.132812,0.082762
36.621094,0.060710
37.109375,0.012574
37.597656,0.100139
38.085938,0.009587
38.574219,0.109482
39.062500,0.088314
39.550781,0.181281
40.039062,0.075791
40.527344,0.062393
41.015625,0.104195
41.503906,0.040818
41.992188,0.049285
42.480469,0.111981
42.968750,0.014709
43.457031,0.008000
43.945312,0.170906
44.433594,0.115772
44.921875,0.049682
45.410156,0.071129
45.898438,0.031802
46.386719,0.005901
46.875000,0.042241
47.363281,0.016806
47.851562,0.151069
48.339844,0.010587
48.828125,0.056059
49.316406,0.038610
49.804688,0.039976
50.292969,0.016890
50.781250,0.079911
51.269531,0.005628
51.757812,0.028996
52.246094,0.146750
52.734375,0.064350
53.222656,0.118661
53.710938,0.013793
54.199219,0.029966
54.687500,0.002471
55.175781,0.022861
55.664062,0.042283
56.152344,0.008435
56.640625,0.040455
57.128906,0.011271
57.617188,0.040277
58.105469,0.003117
58.593750,0.009919
59.082031,0.046455
59.570312,0.014297
60.058594,0.077799
60.546875,0.060295
61.035156,0.070858
61.523438,0.041967
62.011719,0.189450
62.500000,0.018855
62.988281,0.029819
63.476562,0.046749
63.964844,0.039012
64.453125,0.142552
64.941406,0.030624
65.429688,0.006273
65.917969,0.078995
66.406250,0.233157
66.894531,0.073129
67.382812,0.029958
67.871094,0.030979
68.359375,0.023101
68.847656,0.037946
69.335938,0.022532
69.824219,0.008492
70.312500,0.027555
70.800781,0.008166
71.289062,0.005729
71.777344,0.026458
72.265625,0.005818
72.753906,0.013916
73.242188,0.024572
73.730469,0.025741
74.218750,0.025909
74.707031,0.012304
75.195312,0.028105
75.683594,0.038376
76.171875,0.036810
76.660156,0.078224
77.148438,0.011954
77.636719,0.030970
78.125000,0.072526
78.613281,0.028329
79.101562,0.074237
79.589844,0.080956
80.078125,0.042126
80.566406,0.079525
81.054688,0.023701
81.542969,0.053353
82.031250,0.057671
82.519531,0.042906
83.007812,0.122664
83.496094,0.098978
83.984375,0.065329
84.472656,0.071372
84.960938,0.011919
85.449219,0.007539
85.937500,0.008002
86.425781,0.087214
86.914062,0.069409
87.402344,0.054123
87.890625,0.028989
88.378906,0.114439
88.867188,0.072664
89.355469,0.119844
89.843750,0.049737
90.332031,0.015981
90.820312,0.030455
91.308594,0.047036
91.796875,0.011807
92.285156,0.001482
92.773438,0.001552
93.261719,0.000517
93.750000,0.002583
94.238281,0.005802
94.726562,0.032348
95.214844,0.055772
95.703125,0.015746
96.191406,0.058994
96.679688,0.029872
97.167969,0.086743
97.656250,0.158879
98.144531,0.480142
98.632812,0.265151
99.121094,0.027925
99.609375,0.008569
100.097656,0.046235
100.585938,0.081927
101.074219,0.027168
101.562500,0.016731
102.050781,0.005339
102.539062,0.044062
103.027344,0.105126
103.515625,0.093044
104.003906,0.027868
104.492188,0.018069
104.980469,0.027417
105.468750,0.000328
105.957031,0.136607
106.445312,0.066876
106.933594,0.016059
107.421875,0.063601
107.910156,0.030140
108.398438,0.000014
108.886719,0.090591
109.375000,0.062254
109.863281,0.044968
110.351562,0.186273
110.839844,0.037344
111.328125,0.141137
111.816406,0.095743
112.304688,0.087820
112.792969,0.000846
113.281250,0.034004
113.769531,0.207908
114.257812,0.103059
114.746094,0.111253
115.234375,0.106277
115.722656,0.007320
116.210938,0.132481
116.699219,0.026093
117.187500,0.167260
117.675781,0.445003
118.164062,0.018812
118.652344,0.022766
119.140625,0.001725
119.628906,0.011917
120.117188,0.068375
120.605469,0.150666
121.093750,0.029023
121.582031,0.017864
122.070312,0.078097
122.558594,0.067807
123.046875,0.040854
123.535156,0.026136
124.023438,0.045337
124.511719,0.023225
125.000000,0.002315
125.488281,0.032612
125.976562,0.012051
126.464844,0.071983
126.953125,0.017238
127.441406,0.007552
127.929688,0.024160
128.417969,0.050902
128.906250,0.001830
129.394531,0.068364
129.882812,0.265027
130.371094,0.227953
130.859375,0.388416
131.347656,0.049918
131.835938,0.493179
132.324219,0.044678
132.812500,0.451801
133.300781,0.039744
133.789062,0.118206
134.277344,0.002844
134.765625,0.001919
135.253906,0.042321
135.742188,0.007003
136.230469,0.016142
136.718750,0.001277
137.207031,0.006748
137.695312,0.000266
138.183594,0.010579
138.671875,0.006461
139.160156,0.005431
139.648438,0.006863
140.136719,0.034150
140.625000,0.065243
141.113281,0.032164
141.601562,0.162827
142.089844,0.271067
142.578125,0.073087
143.066406,0.016335
143.554688,0.094067
144.042969,0.022606
144.531250,0.001948
145.019531,0.150495
145.507812,0.004284
145.996094,0.035801
146.484375,0.061449
146.972656,0.028993
147.460938,0.083380
147.949219,0.040788
148.437500,0.094113
148.925781,0.037736
149.414062,0.075346
149.902344,0.083314
150.390625,0.020189
150.878906,0.063718
151.367188,0.035339
151.855469,0.003829
152.343750,0.003253
152.832031,0.030564
153.320312,0.068591
153.808594,0.035707
154.296875,0.025201
154.785156,0.129565
155.273438,0.099120
155.761719,0.027700
156.250000,0.012511
156.738281,0.008665
157.226562,0.067770
157.714844,0.032199
158.203125,0.021542
158.691406,0.154780
159.179688,0.135195
159.667969,0.056604
160.156250,0.060004
160.644531,0.022034
161.132812,0.007704
161.621094,0.006102
162.109375,0.093029
162.597656,0.021170
163.085938,0.022293
163.574219,0.000842
164.062500,0.192631
164.550781,0.172794
165.039062,0.070631
165.527344,0.030109
166.015625,0.176660
166.503906,0.157389
166.992188,0.015662
167.480469,0.015977
167.968750,0.040465
168.457031,0.133212
168.945312,0.095893
169.433594,0.120929
169.921875,0.031591
170.410156,0.051234
170.898438,0.093777
171.386719,0.244793
171.875000,0.163368
172.363281,0.194465
172.851562,0.121652
173.339844,0.132021
173.828125,0.037577
174.316406,0.038882
174.804688,0.005210
175.292969,0.021165
175.781250,0.012434
176.269531,0.277321
176.757812,0.159288
177.246094,0.219186
177.734375,0.001995
178.222656,0.169106
178.710938,0.076854
179.199219,0.023810
179.687500,0.021024
180.175781,0.064528
180.664062,0.019751
181.152344,0.028918
181.640625,0.071098
182.128906,0.020983
182.617188,0.087983
183.105469,0.013603
183.593750,0.041589
184.082031,0.015606
184.570312,0.001091
185.058594,0.000785
185.546875,0.000437
186.035156,0.006073
186.523438,0.010294
187.011719,0.028431
187.500000,0.042360
187.988281,0.085675
188.476562,0.064309
188.964844,0.017979
189.453125,0.092792
189.941406,0.038537
190.429688,0.173846
190.917969,0.018756
191.406250,0.070901
191.894531,0.138043
192.382812,0.061590
192.871094,0.010120
193.359375,0.048682
193.847656,0.020007
194.335938,0.096482
194.824219,0.031809
195.312500,0.015398
195.800781,0.301061
196.289062,0.203223
196.777344,0.025465
197.265625,0.008783
197.753906,0.039277
198.242188,0.043690
198.730469,0.015144
199.218750,0.082474
199.707031,0.039485
200.195312,0.003694
200.683594,0.013455
201.171875,0.078056
201.660156,0.014938
202.148438,0.189216
202.636719,0.152917
203.125000,0.071525
203.613281,0.070313
204.101562,0.014587
204.589844,0.221002
205.078125,0.010328
205.566406,0.162925
206.054688,0.064639
206.542969,0.077256
207.031250,0.037523
207.519531,0.058784
208.007812,0.149729
208.496094,0.054640
208.984375,0.037584
209.472656,0.205433
209.960938,0.092239
210.449219,0.005263
210.937500,0.007473
211.425781,0.012487
211.914062,0.077971
212.402344,0.077778
212.890625,0.181235
213.378906,0.095428
213.867188,0.138967
214.355469,0.271936
214.843750,0.076150
215.332031,0.040990
215.820312,0.003552
216.308594,0.021628
216.796875,0.062271
217.285156,0.033441
217.773438,0.060324
218.261719,0.241985
218.750000,0.027555
219.238281,0.255894
219.726562,0.062031
220.214844,0.231158
220.703125,0.094646
221.191406,0.119156
221.679688,0.038526
222.167969,0.039016
222.656250,0.055045
223.144531,0.020495
223.632812,0.079930
224.121094,0.135196
224.609375,0.148361
225.097656,0.039710
225.585938,0.023099
226.074219,0.059548
226.562500,0.013147
227.050781,0.034110
227.539062,0.027185
228.027344,0.030968
228.515625,0.033530
229.003906,0.023541
229.492188,0.022679
229.980469,0.032173
230.468750,0.075027
230.957031,0.057447
231.445312,0.008191
231.933594,0.031152
232.421875,0.005740
232.910156,0.067749
233.398438,0.161381
233.886719,0.008900
234.375000,0.037551
234.863281,0.200088
235.351562,0.190580
235.839844,0.048330
236.328125,0.116883
236.816406,0.344292
237.304688,0.021819
237.792969,0.106438
238.281250,0.072682
238.769531,0.160804
239.257812,0.047515
239.746094,0.099691
240.234375,0.020191
240.722656,0.190557
241.210938,0.202169
241.699219,0.039852
242.187500,0.138336
242.675781,0.054658
243.164062,0.006744
243.652344,0.028732
244.140625,0.035113
244.628906,0.058298
245.117188,0.000442
245.605469,0.161600
246.093750,0.054628
246.582031,0.085166
247.070312,0.055172
247.558594,0.073352
248.046875,0.001814
248.535156,0.021254
249.023438,0.109602
249.511719,0.055906
250.000000,0.007520
250.488281,0.105864
250.976562,0.007612
251.464844,0.015009
251.953125,0.013227
252.441406,0.010861
252.929688,0.004238
253.417969,0.010559
253.906250,0.000274
254.394531,0.063343
254.882812,0.103660
255.371094,0.015421
255.859375,0.080951
256.347656,0.011760
256.835938,0.068978
257.324219,0.007603
257.812500,0.191254
258.300781,0.000203
258.789062,0.006356
259.277344,0.047408
259.765625,0.045210
260.253906,0.234052
260.742188,0.014925
261.230469,0.092110
261.718750,0.028316
262.207031,0.263107
262.695312,0.303813
263.183594,0.112050
263.671875,0.029181
264.160156,0.077811
264.648438,0.118926
265.136719,0.043508
265.625000,0.099737
266.113281,0.159104
266.601562,0.062103
267.089844,0.080303
267.578125,0.069357
268.066406,0.110131
268.554688,0.206707
269.042969,0.140940
269.531250,0.104671
270.019531,0.081913
270.507812,0.100293
270.996094,0.092812
271.484375,0.082622
271.972656,0.085472
272.460938,0.046014
272.949219,0.016481
273.437500,0.109195
273.925781,0.014117
274.414062,0.045824
274.902344,0.024184
275.390625,0.039175
275.878906,0.022953
276.367188,0.004125
276.855469,0.119227
277.343750,0.105500
277.832031,0.056977
278.320312,0.042985
278.808594,0.117692
279.296875,0.028863
279.785156,0.030326
280.273438,0.172931
280.761719,0.133834
281.250000,0.010560
281.738281,0.089895
282.226562,0.013225
282.714844,0.008902
283.203125,0.087206
283.691406,0.000040
284.179688,0.033359
284.667969,0.161067
285.156250,0.022200
285.644531,0.059163
286.132812,0.021245
286.621094,0.053500
287.109375,0.068554
287.597656,0.141685
288.085938,0.022867
288.574219,0.023729
289.062500,0.073679
289.550781,0.038206
290.039062,0.020103
290.527344,0.037573
291.015625,0.094809
291.503906,0.081308
291.992188,0.013684
292.480469,0.002122
292.968750,0.092408
293.457031,0.092367
293.945312,0.044567
294.433594,0.018014
294.921875,0.273208
295.410156,0.151440
295.898438,0.067471
296.386719,0.139394
296.875000,0.169437
297.363281,0.093234
297.851562,0.099444
298.339844,0.075123
298.828125,0.016718
299.316406,0.009416
299.804688,0.000569
300.292969,0.006072
300.781250,0.094119
301.269531,0.043842
301.757812,0.025186
302.246094,0.032075
302.734375,0.049348
303.222656,0.056359
303.710938,0.049871
304.199219,0.018904
304.687500,0.005644
305.175781,0.008095
305.664062,0.006419
306.152344,0.082618
306.640625,0.039538
307.128906,0.161008
307.617188,0.050216
308.105469,0.000814
308.593750,0.002350
309.082031,0.031951
309.570312,0.018196
310.058594,0.065514
310.546875,0.096091
311.035156,0.073216
311.523438,0.006304
312.011719,0.144183
312.500000,0.131778
312.988281,0.002830
313.476562,0.186832
313.964844,0.058654
314.453125,0.025256
314.941406,0.000535
315.429688,0.075204
315.917969,0.068469
316.406250,0.037089
316.894531,0.024325
317.382812,0.125602
317.871094,0.072735
318.359375,0.037596
318.847656,0.033014
319.335938,0.092836
319.824219,0.117465
320.312500,0.078566
320.800781,0.002705
321.289062,0.034398
321.777344,0.032808
322.265625,0.001765
322.753906,0.077381
323.242188,0.067279
323.730469,0.276100
324.218750,0.127221
