freq_hz,psd_real
0.000000,0.000000
1.220703,0.000000
2.441406,0.000000
3.662109,0.000000
4.882812,0.000000
6.103516,0.000000
7.324219,0.000000
8.544922,0.000000
9.765625,0.000000
10.986328,0.000000
12.207031,0.000000
13.427734,0.000000
14.648438,0.000000
15.869141,0.000000
17.089844,0.000000
18.310547,0.000000
19.531250,0.000000
20.751953,0.000000
21.972656,0.000000
23.193359,0.000000
24.414062,0.000000
25.634766,0.000000
26.855469,0.000000
28.076172,0.000000
29.296875,0.000000
30.517578,0.000000
31.738281,0.000000
32.958984,0.000000
34.179688,0.000000
35.400391,0.000000
36.621094,0.000000
37.841797,0.000001
39.062500,0.000001
40.283203,0.000001
41.503906,0.000001
42.724609,0.000001
43.945312,0.000002
45.166016,0.000005
46.386719,0.000010
47.607422,0.000007
48.828125,0.000028
50.048828,0.000020
51.269531,0.000005
52.490234,0.000006
53.710938,0.000037
54.931641,0.000091
56.152344,0.000032
57.373047,0.000065
58.593750,0.000123
59.814453,0.000036
61.035156,0.000015
62.255859,0.000018
63.476562,0.000028
64.697266,0.000085
65.917969,0.000105
67.138672,0.000035
68.359375,0.000016
69.580078,0.000023
70.800781,0.000035
72.021484,0.000078
73.242188,0.000225
74.462891,0.000153
75.683594,0.000045
76.904297,0.000038
78.125000,0.000041
79.345703,0.000042
80.566406,0.000042
81.787109,0.000046
83.007812,0.000072
84.228516,0.000069
85.449219,0.000082
86.669922,0.000363
87.890625,0.000485
89.111328,0.000139
90.332031,0.000075
91.552734,0.000300
92.773438,0.000476
93.994141,0.000131
95.214844,0.000093
96.435547,0.000290
97.656250,0.002051
98.876953,0.001940
100.097656,0.000329
101.318359,0.000163
102.539062,0.000112
103.759766,0.000114
104.980469,0.000141
106.201172,0.000134
107.421875,0.000150
108.642578,0.000298
109.863281,0.000612
111.083984,0.000393
112.304688,0.000226
113.525391,0.000242
114.746094,0.000404
115.966797,0.000915
117.187500,0.000938
118.408203,0.000415
119.628906,0.000185
120.849609,0.000148
122.070312,0.000143
123.291016,0.000121
124.511719,0.000093
125.732422,0.000065
126.953125,0.000056
128.173828,0.000047
129.394531,0.000104
130.615234,0.000384
131.835938,0.000328
133.056641,0.000083
134.277344,0.000036
135.498047,0.000023
136.718750,0.000025
137.939453,0.000061
139.160156,0.000075
140.380859,0.000027
141.601562,0.000023
142.822266,0.000019
144.042969,0.000024
145.263672,0.000046
146.484375,0.000235
147.705078,0.000400
148.925781,0.000138
150.146484,0.000061
151.367188,0.000035
152.587891,0.000031
153.808594,0.000030
155.029297,0.000032
156.250000,0.000053
157.470703,0.000067
158.691406,0.000089
159.912109,0.000128
161.132812,0.000152
162.353516,0.000144
163.574219,0.000162
164.794922,0.000276
166.015625,0.000171
167.236328,0.000090
168.457031,0.000065
169.677734,0.000048
170.898438,0.000042
172.119141,0.000042
173.339844,0.000099
174.560547,0.000220
175.781250,0.000148
177.001953,0.000067
178.222656,0.000039
179.443359,0.000020
180.664062,0.000019
181.884766,0.000019
183.105469,0.000012
184.326172,0.000020
185.546875,0.000028
186.767578,0.000056
187.988281,0.000029
189.208984,0.000008
190.429688,0.000010
191.650391,0.000011
192.871094,0.000010
194.091797,0.000012
195.312500,0.000035
196.533203,0.000060
197.753906,0.000032
198.974609,0.000015
200.195312,0.000010
201.416016,0.000007
202.636719,0.000006
203.857422,0.000006
205.078125,0.000006
206.298828,0.000006
207.519531,0.000005
208.740234,0.000005
209.960938,0.000004
211.181641,0.000004
212.402344,0.000004
213.623047,0.000003
214.843750,0.000004
216.064453,0.000004
217.285156,0.000007
218.505859,0.000015
219.726562,0.000058
220.947266,0.000075
222.167969,0.000036
223.388672,0.000016
224.609375,0.000009
225.830078,0.000006
227.050781,0.000005
228.271484,0.000005
229.492188,0.000006
230.712891,0.000012
231.933594,0.000016
233.154297,0.000028
234.375000,0.000024
235.595703,0.000014
236.816406,0.000006
238.037109,0.000005
239.257812,0.000003
240.478516,0.000002
241.699219,0.000002
242.919922,0.000003
244.140625,0.000003
245.361328,0.000005
246.582031,0.000005
247.802734,0.000004
249.023438,0.000003
250.244141,0.000003
251.464844,0.000005
252.685547,0.000004
253.906250,0.000003
255.126953,0.000003
256.347656,0.000004
257.568359,0.000003
258.789062,0.000004
260.009766,0.000009
261.230469,0.000020
262.451172,0.000033
263.671875,0.000041
264.892578,0.000021
266.113281,0.000010
267.333984,0.000005
268.554688,0.000004
269.775391,0.000003
270.996094,0.000003
272.216797,0.000002
273.437500,0.000002
274.658203,0.000005
275.878906,0.000005
277.099609,0.000005
278.320312,0.000006
279.541016,0.000006
280.761719,0.000004
281.982422,0.000004
283.203125,0.000004
284.423828,0.000004
285.644531,0.000004
286.865234,0.000003
288.085938,0.000004
289.306641,0.000005
290.527344,0.000006
291.748047,0.000010
292.968750,0.000019
294.189453,0.000037
295.410156,0.000046
296.630859,0.000043
297.851562,0.000031
299.072266,0.000022
300.292969,0.000014
301.513672,0.000012
302.734375,0.000008
303.955078,0.000004
305.175781,0.000003
306.396484,0.000003
307.617188,0.000002
308.837891,0.000002
310.058594,0.000002
311.279297,0.000004
312.500000,0.000006
313.720703,0.000005
314.941406,0.000005
316.162109,0.000003
317.382812,0.000003
318.603516,0.000004
319.824219,0.000003
321.044922,0.000003
322.265625,0.000003
323.486328,0.000004
324.707031,0.000006
325.927734,0.000005
327.148438,0.000006
328.369141,0.000016
329.589844,0.000029
330.810547,0.000037
332.031250,0.000028
333.251953,0.000018
334.472656,0.000010
335.693359,0.000005
336.914062,0.000004
338.134766,0.000006
339.355469,0.000011
340.576172,0.000018
341.796875,0.000015
343.017578,0.000011
344.238281,0.000008
345.458984,0.000014
346.679688,0.000019
347.900391,0.000024
349.121094,0.000052
350.341797,0.000069
351.562500,0.000044
352.783203,0.000039
354.003906,0.000036
355.224609,0.000033
356.445312,0.000022
357.666016,0.000009
358.886719,0.000008
360.107422,0.000008
361.328125,0.000009
362.548828,0.000006
363.769531,0.000003
364.990234,0.000002
366.210938,0.000003
367.431641,0.000004
368.652344,0.000005
369.873047,0.000007
371.093750,0.000009
372.314453,0.000008
373.535156,0.000007
374.755859,0.000004
375.976562,0.000005
377.197266,0.000004
378.417969,0.000004
379.638672,0.000005
380.859375,0.000006
382.080078,0.000006
383.300781,0.000007
384.521484,0.000008
385.742188,0.000007
386.962891,0.000005
388.183594,0.000004
389.404297,0.000004
390.625000,0.000009
391.845703,0.000019
393.066406,0.000037
394.287109,0.000053
395.507812,0.000039
396.728516,0.000030
397.949219,0.000015
399.169922,0.000009
400.390625,0.000012
401.611328,0.000009
402.832031,0.000005
404.052734,0.000005
405.273438,0.000005
406.494141,0.000004
407.714844,0.000005
408.935547,0.000005
410.156250,0.000007
411.376953,0.000007
412.597656,0.000008
413.818359,0.000006
415.039062,0.000004
416.259766,0.000004
417.480469,0.000004
418.701172,0.000004
419.921875,0.000004
421.142578,0.000002
422.363281,0.000002
423.583984,0.000003
424.804688,0.000002
426.025391,0.000003
427.246094,0.000004
428.466797,0.000004
429.687500,0.000005
430.908203,0.000006
432.128906,0.000004
433.349609,0.000004
434.570312,0.000007
435.791016,0.000007
437.011719,0.000009
438.232422,0.000016
439.453125,0.000047
440.673828,0.000074
441.894531,0.000062
443.115234,0.000061
444.335938,0.000061
445.556641,0.000078
446.777344,0.000058
447.998047,0.000028
449.218750,0.000017
450.439453,0.000013
451.660156,0.000011
452.880859,0.000009
454.101562,0.000010
455.322266,0.000013
456.542969,0.000011
457.763672,0.000008
458.984375,0.000010
460.205078,0.000009
461.425781,0.000011
462.646484,0.000012
463.867188,0.000015
465.087891,0.000026
466.308594,0.000027
467.529297,0.000042
468.750000,0.000029
469.970703,0.000023
471.191406,0.000024
472.412109,0.000033
473.632812,0.000016
474.853516,0.000008
476.074219,0.000009
477.294922,0.000008
478.515625,0.000006
