freq_hz,psd_fake
0.000000,0.000001
0.195312,0.000006
0.390625,0.000003
0.585938,0.000001
0.781250,0.000001
0.976562,0.000000
1.171875,0.000001
1.367188,0.000002
1.562500,0.000002
1.757812,0.000001
1.953125,0.000002
2.148438,0.000002
2.343750,0.000001
2.539062,0.000001
2.734375,0.000001
2.929688,0.000002
3.125000,0.000001
3.320312,0.000002
3.515625,0.000002
3.710938,0.000001
3.906250,0.000001
4.101562,0.000001
4.296875,0.000001
4.492188,0.000001
4.687500,0.000001
4.882812,0.000001
5.078125,0.000001
5.273438,0.000001
5.468750,0.000002
5.664062,0.000002
5.859375,0.000003
6.054688,0.000001
6.250000,0.000000
6.445312,0.000001
6.640625,0.000001
6.835938,0.000000
7.031250,0.000001
7.226562,0.000001
7.421875,0.000003
7.617188,0.000002
7.812500,0.000001
8.007812,0.000001
8.203125,0.000001
8.398438,0.000001
8.593750,0.000002
8.789062,0.000003
8.984375,0.000002
9.179688,0.000001
9.375000,0.000003
9.570312,0.000004
9.765625,0.000003
9.960938,0.000004
10.156250,0.000005
10.351562,0.000003
10.546875,0.000001
10.742188,0.000002
10.937500,0.000002
11.132812,0.000002
11.328125,0.000001
11.523438,0.000001
11.718750,0.000001
11.914062,0.000001
12.109375,0.000001
12.304688,0.000002
12.500000,0.000003
12.695312,0.000002
12.890625,0.000002
13.085938,0.000002
13.281250,0.000001
13.476562,0.000001
13.671875,0.000000
13.867188,0.000001
14.062500,0.000001
14.257812,0.000001
14.453125,0.000001
14.648438,0.000002
14.843750,0.000004
15.039062,0.000003
15.234375,0.000001
15.429688,0.000002
15.625000,0.000002
15.820312,0.000001
16.015625,0.000001
16.210938,0.000001
16.406250,0.000002
16.601562,0.000001
16.796875,0.000001
16.992188,0.000001
17.187500,0.000002
17.382812,0.000003
17.578125,0.000002
17.773438,0.000004
17.968750,0.000005
18.164062,0.000002
18.359375,0.000004
18.554688,0.000007
18.750000,0.000003
18.945312,0.000001
19.140625,0.000001
19.335938,0.000003
19.531250,0.000002
19.726562,0.000004
19.921875,0.000009
20.117188,0.000008
20.312500,0.000003
20.507812,0.000002
20.703125,0.000001
20.898438,0.000001
21.093750,0.000001
21.289062,0.000002
21.484375,0.000002
21.679688,0.000001
21.875000,0.000002
22.070312,0.000002
22.265625,0.000003
22.460938,0.000002
22.656250,0.000001
22.851562,0.000001
23.046875,0.000002
23.242188,0.000001
23.437500,0.000001
23.632812,0.000001
23.828125,0.000002
24.023438,0.000002
24.218750,0.000003
24.414062,0.000003
24.609375,0.000004
24.804688,0.000004
25.000000,0.000004
25.195312,0.000006
25.390625,0.000010
25.585938,0.000008
25.781250,0.000005
25.976562,0.000003
26.171875,0.000001
26.367188,0.000002
26.562500,0.000002
26.757812,0.000003
26.953125,0.000002
27.148438,0.000001
27.343750,0.000003
27.539062,0.000006
27.734375,0.000004
27.929688,0.000001
28.125000,0.000001
28.320312,0.000002
28.515625,0.000003
28.710938,0.000004
28.906250,0.000008
29.101562,0.000008
29.296875,0.000005
29.492188,0.000003
29.687500,0.000002
29.882812,0.000003
30.078125,0.000005
30.273438,0.000005
30.468750,0.000004
30.664062,0.000003
30.859375,0.000002
31.054688,0.000002
31.250000,0.000003
31.445312,0.000003
31.640625,0.000002
31.835938,0.000002
32.031250,0.000002
32.226562,0.000002
32.421875,0.000003
32.617188,0.000003
32.812500,0.000003
33.007812,0.000004
33.203125,0.000004
33.398438,0.000002
33.593750,0.000002
33.789062,0.000001
33.984375,0.000001
34.179688,0.000001
34.375000,0.000002
34.570312,0.000003
34.765625,0.000003
34.960938,0.000002
35.156250,0.000002
35.351562,0.000003
35.546875,0.000002
35.742188,0.000001
35.937500,0.000001
36.132812,0.000002
36.328125,0.000003
36.523438,0.000002
36.718750,0.000002
36.914062,0.000003
37.109375,0.000006
37.304688,0.000004
37.500000,0.000004
37.695312,0.000002
37.890625,0.000002
38.085938,0.000003
38.281250,0.000009
38.476562,0.000016
38.671875,0.000006
38.867188,0.000003
39.062500,0.000004
39.257812,0.000004
39.453125,0.000005
39.648438,0.000006
39.843750,0.000007
40.039062,0.000004
40.234375,0.000003
40.429688,0.000004
40.625000,0.000004
40.820312,0.000003
41.015625,0.000003
41.210938,0.000002
41.406250,0.000004
41.601562,0.000007
41.796875,0.000003
41.992188,0.000003
42.187500,0.000005
42.382812,0.000005
42.578125,0.000005
42.773438,0.000005
42.968750,0.000006
43.164062,0.000003
43.359375,0.000004
43.554688,0.000018
43.750000,0.000016
43.945312,0.000014
44.140625,0.000009
44.335938,0.000006
44.531250,0.000006
44.726562,0.000004
44.921875,0.000006
45.117188,0.000006
45.312500,0.000003
45.507812,0.000004
45.703125,0.000006
45.898438,0.000006
46.093750,0.000002
46.289062,0.000002
46.484375,0.000003
46.679688,0.000004
46.875000,0.000006
47.070312,0.000006
47.265625,0.000008
47.460938,0.000014
47.656250,0.000015
47.851562,0.000007
48.046875,0.000006
48.242188,0.000008
48.437500,0.000008
48.632812,0.000011
48.828125,0.000016
49.023438,0.000020
49.218750,0.000018
49.414062,0.000026
49.609375,0.000036
49.804688,0.000034
50.000000,0.000034
50.195312,0.000036
50.390625,0.000025
50.585938,0.000015
50.781250,0.000010
50.976562,0.000014
51.171875,0.000012
51.367188,0.000009
51.562500,0.000007
51.757812,0.000011
51.953125,0.000013
52.148438,0.000010
52.343750,0.000015
52.539062,0.000016
52.734375,0.000020
52.929688,0.000008
53.125000,0.000006
53.320312,0.000008
53.515625,0.000009
53.710938,0.000015
53.906250,0.000011
54.101562,0.000017
54.296875,0.000021
54.492188,0.000014
54.687500,0.000014
54.882812,0.000025
55.078125,0.000020
55.273438,0.000013
55.468750,0.000013
55.664062,0.000019
55.859375,0.000011
56.054688,0.000010
56.250000,0.000010
56.445312,0.000010
56.640625,0.000012
56.835938,0.000010
57.031250,0.000007
57.226562,0.000007
57.421875,0.000015
57.617188,0.000026
57.812500,0.000018
58.007812,0.000020
58.203125,0.000018
58.398438,0.000017
58.593750,0.000024
58.789062,0.000029
58.984375,0.000054
59.179688,0.000073
59.375000,0.000043
59.570312,0.000041
59.765625,0.000085
59.960938,0.000224
60.156250,0.000269
60.351562,0.000159
60.546875,0.000093
60.742188,0.000040
60.937500,0.000024
61.132812,0.000015
61.328125,0.000008
61.523438,0.000007
61.718750,0.000016
61.914062,0.000025
62.109375,0.000024
62.304688,0.000021
62.500000,0.000011
62.695312,0.000008
62.890625,0.000007
63.085938,0.000011
63.281250,0.000007
63.476562,0.000007
63.671875,0.000011
63.867188,0.000018
64.062500,0.000012
64.257812,0.000008
64.453125,0.000006
64.648438,0.000008
64.843750,0.000012
65.039062,0.000013
65.234375,0.000022
65.429688,0.000034
65.625000,0.000026
65.820312,0.000008
66.015625,0.000013
66.210938,0.000018
66.406250,0.000016
66.601562,0.000022
66.796875,0.000016
66.992188,0.000010
67.187500,0.000021
67.382812,0.000038
67.578125,0.000053
67.773438,0.000045
67.968750,0.000022
68.164062,0.000021
68.359375,0.000016
68.554688,0.000032
68.750000,0.000048
68.945312,0.000029
69.140625,0.000021
69.335938,0.000031
69.531250,0.000038
69.726562,0.000041
69.921875,0.000085
70.117188,0.000042
70.312500,0.000026
70.507812,0.000021
70.703125,0.000028
70.898438,0.000026
71.093750,0.000016
71.289062,0.000017
71.484375,0.000030
71.679688,0.000064
71.875000,0.000052
72.070312,0.000070
72.265625,0.000088
72.460938,0.000076
72.656250,0.000203
72.851562,0.000443
73.046875,0.000267
73.242188,0.000084
73.437500,0.000042
73.632812,0.000037
73.828125,0.000035
74.023438,0.000093
74.218750,0.000070
74.414062,0.000037
74.609375,0.000046
74.804688,0.000012
75.000000,0.000026
75.195312,0.000027
75.390625,0.000024
75.585938,0.000027
75.781250,0.000026
75.976562,0.000029
76.171875,0.000054
76.367188,0.000045
76.562500,0.000034
76.757812,0.000023
76.953125,0.000013
77.148438,0.000019
77.343750,0.000021
77.539062,0.000056
77.734375,0.000056
77.929688,0.000026
78.125000,0.000017
78.320312,0.000036
78.515625,0.000034
78.710938,0.000021
78.906250,0.000015
79.101562,0.000020
79.296875,0.000007
79.492188,0.000014
79.687500,0.000031
79.882812,0.000135
80.078125,0.000157
80.273438,0.000097
80.468750,0.000055
80.664062,0.000020
80.859375,0.000018
81.054688,0.000015
81.250000,0.000012
81.445312,0.000018
81.640625,0.000014
81.835938,0.000022
82.031250,0.000035
82.226562,0.000030
82.421875,0.000061
82.617188,0.000144
82.812500,0.000057
83.007812,0.000012
83.203125,0.000021
83.398438,0.000035
83.593750,0.000032
83.789062,0.000031
83.984375,0.000045
84.179688,0.000043
84.375000,0.000033
84.570312,0.000016
84.765625,0.000025
84.960938,0.000062
85.156250,0.000044
85.351562,0.000076
85.546875,0.000047
85.742188,0.000042
85.937500,0.000052
86.132812,0.000045
86.328125,0.000040
86.523438,0.000069
86.718750,0.000131
86.914062,0.000168
87.109375,0.000247
87.304688,0.000425
87.500000,0.000284
87.695312,0.000123
87.890625,0.000110
88.085938,0.000091
88.281250,0.000069
88.476562,0.000047
88.671875,0.000042
88.867188,0.000049
89.062500,0.000027
89.257812,0.000030
89.453125,0.000032
89.648438,0.000055
89.843750,0.000100
90.039062,0.000048
90.234375,0.000021
90.429688,0.000048
90.625000,0.000039
90.820312,0.000078
91.015625,0.000067
91.210938,0.000044
91.406250,0.000091
91.601562,0.000096
91.796875,0.000123
91.992188,0.000128
92.187500,0.000590
92.382812,0.002233
92.578125,0.002652
92.773438,0.000969
92.968750,0.000247
93.164062,0.000149
93.359375,0.000108
93.554688,0.000040
93.750000,0.000087
93.945312,0.000128
94.140625,0.000138
94.335938,0.000046
94.531250,0.000056
94.726562,0.000088
94.921875,0.000154
95.117188,0.000117
95.312500,0.000053
95.507812,0.000025
95.703125,0.000037
95.898438,0.000071
96.093750,0.000060
96.289062,0.000094
96.484375,0.000132
96.679688,0.000107
96.875000,0.000093
97.070312,0.000206
97.265625,0.000254
97.460938,0.000167
97.656250,0.001009
97.851562,0.003681
98.046875,0.005682
98.242188,0.012484
98.437500,0.005450
98.632812,0.000783
98.828125,0.000454
99.023438,0.000250
99.218750,0.000135
99.414062,0.000129
99.609375,0.000168
99.804688,0.000218
100.000000,0.000383
100.195312,0.000199
100.390625,0.000173
100.585938,0.000157
100.781250,0.000137
100.976562,0.000106
101.171875,0.000073
101.367188,0.000152
101.562500,0.000143
101.757812,0.000086
101.953125,0.000068
102.148438,0.000049
102.343750,0.000048
102.539062,0.000111
102.734375,0.000102
102.929688,0.000042
103.125000,0.000065
103.320312,0.000053
103.515625,0.000052
103.710938,0.000054
103.906250,0.000040
104.101562,0.000011
104.296875,0.000042
104.492188,0.000023
104.687500,0.000033
104.882812,0.000029
105.078125,0.000029
105.273438,0.000057
105.468750,0.000027
105.664062,0.000037
105.859375,0.000063
106.054688,0.000070
106.250000,0.000084
106.445312,0.000063
106.640625,0.000061
106.835938,0.000065
107.031250,0.000047
107.226562,0.000036
107.421875,0.000066
107.617188,0.000173
107.812500,0.000196
108.007812,0.000148
108.203125,0.000102
108.398438,0.000250
108.593750,0.000161
108.789062,0.000076
108.984375,0.000088
109.179688,0.000297
109.375000,0.000527
109.570312,0.000944
109.765625,0.001565
109.960938,0.001119
110.156250,0.000964
110.351562,0.001720
110.546875,0.000811
110.742188,0.000170
110.937500,0.000072
111.132812,0.000057
111.328125,0.000065
111.523438,0.000042
111.718750,0.000067
111.914062,0.000054
112.109375,0.000035
112.304688,0.000030
112.500000,0.000064
112.695312,0.000117
112.890625,0.000221
113.085938,0.000250
113.281250,0.000065
113.476562,0.000066
113.671875,0.000056
113.867188,0.000057
114.062500,0.000110
114.257812,0.000125
114.453125,0.000088
114.648438,0.000046
114.843750,0.000039
115.039062,0.000031
115.234375,0.000049
115.429688,0.000134
115.625000,0.000158
115.820312,0.000216
116.015625,0.000312
116.210938,0.000528
116.406250,0.000802
116.601562,0.000734
116.796875,0.000296
116.992188,0.000072
117.187500,0.000041
117.382812,0.000052
117.578125,0.000089
117.773438,0.000096
117.968750,0.000091
118.164062,0.000053
118.359375,0.000039
118.554688,0.000027
118.750000,0.000037
118.945312,0.000047
119.140625,0.000047
119.335938,0.000024
119.531250,0.000075
119.726562,0.000127
119.921875,0.000112
120.117188,0.000108
120.312500,0.000073
120.507812,0.000039
120.703125,0.000078
120.898438,0.000063
121.093750,0.000031
121.289062,0.000050
121.484375,0.000066
121.679688,0.000066
121.875000,0.000042
122.070312,0.000023
122.265625,0.000059
122.460938,0.000081
122.656250,0.000052
122.851562,0.000033
123.046875,0.000032
123.242188,0.000035
123.437500,0.000045
123.632812,0.000063
123.828125,0.000062
124.023438,0.000076
124.218750,0.000072
124.414062,0.000030
124.609375,0.000046
124.804688,0.000024
125.000000,0.000023
125.195312,0.000039
125.390625,0.000023
125.585938,0.000044
