freq_hz,coherence
0.000000,0.003608
0.244141,0.039360
0.488281,0.064141
0.732422,0.150193
0.976562,0.286120
1.220703,0.255714
1.464844,0.292950
1.708984,0.074146
1.953125,0.109965
2.197266,0.031248
2.441406,0.089961
2.685547,0.059443
2.929688,0.063933
3.173828,0.064938
3.417969,0.172005
3.662109,0.039269
3.906250,0.009825
4.150391,0.142766
4.394531,0.092129
4.638672,0.149349
4.882812,0.078322
5.126953,0.284313
5.371094,0.105963
5.615234,0.026392
5.859375,0.104349
6.103516,0.080480
6.347656,0.017529
6.591797,0.038959
6.835938,0.133099
7.080078,0.007981
7.324219,0.096875
7.568359,0.196224
7.812500,0.070742
8.056641,0.228399
8.300781,0.153791
8.544922,0.167290
8.789062,0.141234
9.033203,0.097654
9.277344,0.063653
9.521484,0.045590
9.765625,0.194245
10.009766,0.051466
10.253906,0.179908
10.498047,0.086422
10.742188,0.057827
10.986328,0.056092
11.230469,0.047587
11.474609,0.078058
11.718750,0.151434
11.962891,0.304005
12.207031,0.315790
12.451172,0.238474
12.695312,0.192814
12.939453,0.088032
13.183594,0.083310
13.427734,0.058386
13.671875,0.224347
13.916016,0.118208
14.160156,0.024737
14.404297,0.107509
14.648438,0.227780
14.892578,0.238906
15.136719,0.088575
15.380859,0.099243
15.625000,0.245124
15.869141,0.014336
16.113281,0.112767
16.357422,0.223992
16.601562,0.347671
16.845703,0.153059
17.089844,0.068187
17.333984,0.015632
17.578125,0.142313
17.822266,0.275868
18.066406,0.162463
18.310547,0.018950
18.554688,0.178785
18.798828,0.167088
19.042969,0.262188
19.287109,0.400336
19.531250,0.594439
19.775391,0.096735
20.019531,0.119092
20.263672,0.340845
20.507812,0.160522
20.751953,0.028917
20.996094,0.176398
21.240234,0.061764
21.484375,0.282690
21.728516,0.050502
21.972656,0.197154
22.216797,0.111082
22.460938,0.011334
22.705078,0.174695
22.949219,0.183292
23.193359,0.026081
23.437500,0.184949
23.681641,0.378835
23.925781,0.245337
24.169922,0.016130
24.414062,0.183857
24.658203,0.007921
24.902344,0.189156
25.146484,0.414664
25.390625,0.041115
25.634766,0.046710
25.878906,0.042442
26.123047,0.225869
26.367188,0.040452
26.611328,0.239907
26.855469,0.066852
27.099609,0.029723
27.343750,0.062939
27.587891,0.415396
27.832031,0.021079
28.076172,0.139228
28.320312,0.113202
28.564453,0.146245
28.808594,0.354052
29.052734,0.492214
29.296875,0.129808
29.541016,0.020223
29.785156,0.197227
30.029297,0.108194
30.273438,0.187666
30.517578,0.153124
30.761719,0.145710
31.005859,0.001241
31.250000,0.057665
31.494141,0.242793
31.738281,0.201579
31.982422,0.085119
32.226562,0.091335
32.470703,0.071252
32.714844,0.183717
32.958984,0.040418
33.203125,0.418160
33.447266,0.063765
33.691406,0.100413
33.935547,0.418467
34.179688,0.215438
34.423828,0.008517
34.667969,0.038550
34.912109,0.045459
35.156250,0.008909
35.400391,0.008418
35.644531,0.141557
35.888672,0.111172
36.132812,0.196232
36.376953,0.258405
36.621094,0.179828
36.865234,0.045758
37.109375,0.104998
37.353516,0.237547
37.597656,0.008195
37.841797,0.033065
38.085938,0.023953
38.330078,0.027940
38.574219,0.427533
38.818359,0.347391
39.062500,0.113818
39.306641,0.080126
39.550781,0.079203
39.794922,0.016490
40.039062,0.040432
40.283203,0.008142
40.527344,0.069903
40.771484,0.032004
41.015625,0.086868
41.259766,0.318266
41.503906,0.107742
41.748047,0.010033
41.992188,0.216721
42.236328,0.056216
42.480469,0.135867
42.724609,0.146833
42.968750,0.009979
43.212891,0.025700
43.457031,0.072881
43.701172,0.016814
43.945312,0.026854
44.189453,0.016443
44.433594,0.044530
44.677734,0.099655
44.921875,0.181084
45.166016,0.367001
45.410156,0.120514
45.654297,0.102615
45.898438,0.087716
46.142578,0.117958
46.386719,0.019979
46.630859,0.107482
46.875000,0.013321
47.119141,0.030250
47.363281,0.144287
47.607422,0.364110
47.851562,0.327816
48.095703,0.185250
48.339844,0.052948
48.583984,0.655216
48.828125,0.010435
49.072266,0.134883
49.316406,0.470565
49.560547,0.272799
49.804688,0.110465
50.048828,0.055949
50.292969,0.002824
50.537109,0.065091
50.781250,0.140899
51.025391,0.223413
51.269531,0.010630
51.513672,0.388611
51.757812,0.575533
52.001953,0.084740
52.246094,0.025306
52.490234,0.117192
52.734375,0.322400
52.978516,0.305357
53.222656,0.242465
53.466797,0.018573
53.710938,0.227630
53.955078,0.142613
54.199219,0.268459
54.443359,0.024171
54.687500,0.029429
54.931641,0.234030
55.175781,0.060040
55.419922,0.130015
55.664062,0.087065
55.908203,0.043487
56.152344,0.034327
56.396484,0.031756
56.640625,0.067993
56.884766,0.087973
57.128906,0.068540
57.373047,0.010421
57.617188,0.130867
57.861328,0.154370
58.105469,0.094496
58.349609,0.042470
58.593750,0.122671
58.837891,0.061251
59.082031,0.038120
59.326172,0.003163
59.570312,0.193669
59.814453,0.469734
60.058594,0.328912
60.302734,0.013183
60.546875,0.000071
60.791016,0.395087
61.035156,0.338004
61.279297,0.159118
61.523438,0.135427
61.767578,0.006723
62.011719,0.020026
62.255859,0.059744
62.500000,0.148217
62.744141,0.054551
62.988281,0.363575
63.232422,0.146242
63.476562,0.200663
63.720703,0.081622
63.964844,0.067211
64.208984,0.178764
64.453125,0.367508
64.697266,0.252854
64.941406,0.129926
65.185547,0.136937
65.429688,0.064304
65.673828,0.177623
65.917969,0.217302
66.162109,0.269608
66.406250,0.169119
66.650391,0.147733
66.894531,0.027790
67.138672,0.135038
67.382812,0.383513
67.626953,0.295839
67.871094,0.161896
68.115234,0.213836
68.359375,0.142310
68.603516,0.078979
68.847656,0.016713
69.091797,0.081814
69.335938,0.022268
69.580078,0.149636
69.824219,0.120933
70.068359,0.077215
70.312500,0.069002
70.556641,0.117597
70.800781,0.081578
71.044922,0.080127
71.289062,0.008721
71.533203,0.095541
71.777344,0.091125
72.021484,0.330010
72.265625,0.254346
72.509766,0.117742
72.753906,0.038220
72.998047,0.138018
73.242188,0.012331
73.486328,0.129053
73.730469,0.047894
73.974609,0.320096
74.218750,0.371555
74.462891,0.315999
74.707031,0.156573
74.951172,0.018414
75.195312,0.055222
75.439453,0.025889
75.683594,0.011368
75.927734,0.029647
76.171875,0.252663
76.416016,0.434312
76.660156,0.324859
76.904297,0.086452
77.148438,0.093633
77.392578,0.080270
77.636719,0.098045
77.880859,0.097417
78.125000,0.009883
78.369141,0.012014
78.613281,0.168387
78.857422,0.111692
79.101562,0.376102
79.345703,0.364089
79.589844,0.212204
79.833984,0.363061
80.078125,0.572677
80.322266,0.054072
80.566406,0.031204
80.810547,0.019813
81.054688,0.085250
81.298828,0.040502
81.542969,0.008487
81.787109,0.027371
82.031250,0.124603
82.275391,0.002377
82.519531,0.073384
82.763672,0.354217
83.007812,0.204300
83.251953,0.201030
83.496094,0.068938
83.740234,0.023555
83.984375,0.042511
84.228516,0.027272
84.472656,0.201428
84.716797,0.288419
84.960938,0.041819
85.205078,0.020290
85.449219,0.257852
85.693359,0.330729
85.937500,0.199817
86.181641,0.206511
86.425781,0.192301
86.669922,0.129082
86.914062,0.011609
87.158203,0.033149
87.402344,0.011964
87.646484,0.005887
87.890625,0.006321
88.134766,0.039468
88.378906,0.067636
88.623047,0.046186
88.867188,0.144474
89.111328,0.186695
89.355469,0.082718
89.599609,0.138152
89.843750,0.003403
90.087891,0.146106
90.332031,0.004397
90.576172,0.056965
90.820312,0.123249
91.064453,0.157793
91.308594,0.225762
91.552734,0.069313
91.796875,0.094739
92.041016,0.062115
92.285156,0.013847
92.529297,0.020725
92.773438,0.014124
93.017578,0.200932
93.261719,0.082792
93.505859,0.023273
93.750000,0.050702
93.994141,0.072359
94.238281,0.028539
94.482422,0.059519
94.726562,0.146263
94.970703,0.252770
95.214844,0.138648
95.458984,0.149774
95.703125,0.101058
95.947266,0.094164
96.191406,0.434084
96.435547,0.113213
96.679688,0.133858
96.923828,0.040202
97.167969,0.018186
97.412109,0.022490
97.656250,0.114926
97.900391,0.026844
98.144531,0.093435
98.388672,0.447729
98.632812,0.119272
98.876953,0.056771
99.121094,0.089547
99.365234,0.045454
99.609375,0.032702
99.853516,0.062007
100.097656,0.015549
100.341797,0.020141
100.585938,0.081080
100.830078,0.169092
101.074219,0.027809
101.318359,0.065750
101.562500,0.075672
101.806641,0.103515
102.050781,0.083090
102.294922,0.029818
102.539062,0.129514
102.783203,0.306261
103.027344,0.012004
103.271484,0.046517
103.515625,0.112082
103.759766,0.311162
104.003906,0.313714
104.248047,0.037567
104.492188,0.079222
104.736328,0.259977
104.980469,0.048564
105.224609,0.174290
105.468750,0.188943
105.712891,0.040861
105.957031,0.142371
106.201172,0.114619
106.445312,0.332309
106.689453,0.322984
106.933594,0.182769
107.177734,0.072449
107.421875,0.113323
107.666016,0.082327
107.910156,0.162519
108.154297,0.545225
108.398438,0.264159
108.642578,0.090787
108.886719,0.057634
109.130859,0.006230
109.375000,0.136309
109.619141,0.029401
109.863281,0.115624
110.107422,0.449044
110.351562,0.309281
110.595703,0.080901
110.839844,0.009345
111.083984,0.150752
111.328125,0.067245
111.572266,0.037105
111.816406,0.052488
112.060547,0.049843
112.304688,0.001669
112.548828,0.029754
112.792969,0.124828
113.037109,0.177565
113.281250,0.391767
113.525391,0.578062
113.769531,0.353331
114.013672,0.026873
114.257812,0.022645
114.501953,0.060069
114.746094,0.104479
114.990234,0.129414
115.234375,0.164989
115.478516,0.016587
115.722656,0.099918
115.966797,0.309647
116.210938,0.236108
116.455078,0.244584
116.699219,0.054502
116.943359,0.194384
117.187500,0.055231
117.431641,0.062744
117.675781,0.001831
117.919922,0.032597
118.164062,0.203588
118.408203,0.073743
118.652344,0.006152
118.896484,0.121238
119.140625,0.000621
119.384766,0.041634
119.628906,0.063731
119.873047,0.028141
120.117188,0.037389
120.361328,0.143922
120.605469,0.154603
120.849609,0.274686
121.093750,0.207408
121.337891,0.378784
121.582031,0.223944
121.826172,0.222311
122.070312,0.078771
122.314453,0.341893
122.558594,0.318510
122.802734,0.160954
123.046875,0.102555
123.291016,0.044738
123.535156,0.231451
123.779297,0.193454
124.023438,0.237841
124.267578,0.049337
124.511719,0.099906
124.755859,0.105247
125.000000,0.268885
125.244141,0.017864
125.488281,0.035718
125.732422,0.222286
125.976562,0.289645
126.220703,0.129723
126.464844,0.314183
126.708984,0.392968
126.953125,0.205925
127.197266,0.003905
127.441406,0.294132
127.685547,0.237010
127.929688,0.038403
128.173828,0.089330
128.417969,0.076719
128.662109,0.060118
128.906250,0.009327
129.150391,0.092627
129.394531,0.191937
129.638672,0.293681
129.882812,0.421786
130.126953,0.229661
130.371094,0.178180
130.615234,0.005900
130.859375,0.031405
131.103516,0.055395
131.347656,0.119200
131.591797,0.220394
131.835938,0.168451
132.080078,0.031192
132.324219,0.126743
132.568359,0.184385
132.812500,0.077786
133.056641,0.066292
133.300781,0.129200
133.544922,0.106139
133.789062,0.160689
134.033203,0.138284
134.277344,0.028019
134.521484,0.097546
134.765625,0.118238
135.009766,0.072949
135.253906,0.026472
135.498047,0.020898
135.742188,0.072497
135.986328,0.143137
136.230469,0.020688
136.474609,0.004255
136.718750,0.154612
136.962891,0.172774
137.207031,0.015410
137.451172,0.009770
137.695312,0.035583
137.939453,0.073189
138.183594,0.021188
138.427734,0.210029
138.671875,0.041036
138.916016,0.063729
139.160156,0.159516
139.404297,0.034263
139.648438,0.092288
139.892578,0.439238
140.136719,0.021452
140.380859,0.051862
140.625000,0.041248
140.869141,0.014744
141.113281,0.071515
141.357422,0.056771
141.601562,0.095522
141.845703,0.077011
142.089844,0.042525
142.333984,0.010673
142.578125,0.039052
142.822266,0.125721
143.066406,0.059736
143.310547,0.056672
143.554688,0.099319
143.798828,0.248567
144.042969,0.123735
144.287109,0.040116
144.531250,0.285682
144.775391,0.264637
145.019531,0.258735
145.263672,0.315485
145.507812,0.253265
145.751953,0.037023
145.996094,0.008341
146.240234,0.049768
146.484375,0.162437
146.728516,0.082130
146.972656,0.073579
147.216797,0.153975
147.460938,0.130247
147.705078,0.387145
147.949219,0.546559
148.193359,0.270164
148.437500,0.007044
148.681641,0.142271
148.925781,0.363743
149.169922,0.171720
149.414062,0.019502
149.658203,0.021101
149.902344,0.234999
150.146484,0.324864
150.390625,0.315991
150.634766,0.289400
150.878906,0.031787
151.123047,0.055348
151.367188,0.092644
151.611328,0.130129
151.855469,0.079998
152.099609,0.032857
152.343750,0.268922
152.587891,0.025367
152.832031,0.130310
153.076172,0.161008
153.320312,0.177355
153.564453,0.035733
153.808594,0.074254
154.052734,0.004334
154.296875,0.230914
154.541016,0.212641
154.785156,0.000133
155.029297,0.043417
155.273438,0.090230
155.517578,0.203520
155.761719,0.070105
156.005859,0.425095
156.250000,0.253850
156.494141,0.040866
156.738281,0.304975
156.982422,0.086193
157.226562,0.168836
157.470703,0.258468
157.714844,0.119348
157.958984,0.059946
158.203125,0.317651
158.447266,0.067473
158.691406,0.047568
158.935547,0.382061
159.179688,0.238794
159.423828,0.014966
159.667969,0.309133
159.912109,0.281325
160.156250,0.130541
160.400391,0.459119
160.644531,0.044523
160.888672,0.022160
161.132812,0.276626
161.376953,0.047261
161.621094,0.165866
161.865234,0.050113
162.109375,0.048631
162.353516,0.087465
162.597656,0.031189
162.841797,0.127793
163.085938,0.020039
163.330078,0.109714
163.574219,0.124231
163.818359,0.010390
164.062500,0.200257
164.306641,0.002488
164.550781,0.029106
164.794922,0.061602
165.039062,0.073388
165.283203,0.088031
165.527344,0.020962
165.771484,0.014602
166.015625,0.096853
166.259766,0.017500
166.503906,0.215844
166.748047,0.008254
166.992188,0.131360
167.236328,0.344169
167.480469,0.013445
167.724609,0.047000
167.968750,0.180577
168.212891,0.285447
168.457031,0.144538
168.701172,0.228089
168.945312,0.085749
169.189453,0.020818
169.433594,0.251837
169.677734,0.077125
169.921875,0.431113
170.166016,0.606750
170.410156,0.160467
170.654297,0.218067
170.898438,0.271951
171.142578,0.275774
171.386719,0.188442
171.630859,0.292521
171.875000,0.051136
172.119141,0.048240
172.363281,0.133662
172.607422,0.063216
172.851562,0.180800
173.095703,0.049592
173.339844,0.081271
173.583984,0.159883
173.828125,0.143891
174.072266,0.062906
174.316406,0.098616
174.560547,0.011130
174.804688,0.174225
175.048828,0.055359
175.292969,0.202350
175.537109,0.077314
175.781250,0.089783
176.025391,0.535385
176.269531,0.010511
176.513672,0.018411
176.757812,0.119778
177.001953,0.142948
177.246094,0.126817
177.490234,0.123189
177.734375,0.093396
177.978516,0.153409
178.222656,0.015846
178.466797,0.077110
178.710938,0.042880
178.955078,0.040658
179.199219,0.058879
179.443359,0.031142
179.687500,0.009870
179.931641,0.308207
180.175781,0.030331
180.419922,0.053204
180.664062,0.149572
180.908203,0.006665
181.152344,0.004403
181.396484,0.059693
181.640625,0.057677
181.884766,0.038971
182.128906,0.042774
182.373047,0.021630
182.617188,0.086567
182.861328,0.104530
183.105469,0.397162
183.349609,0.015148
183.593750,0.449999
183.837891,0.100254
184.082031,0.108134
184.326172,0.189894
184.570312,0.187646
184.814453,0.022755
185.058594,0.038254
185.302734,0.083704
185.546875,0.157572
185.791016,0.039707
186.035156,0.043987
186.279297,0.090164
186.523438,0.009589
186.767578,0.170835
187.011719,0.024794
187.255859,0.051559
187.500000,0.064411
187.744141,0.081382
187.988281,0.142348
188.232422,0.188965
188.476562,0.084941
188.720703,0.140587
188.964844,0.029149
189.208984,0.248278
189.453125,0.130854
189.697266,0.037096
189.941406,0.206481
190.185547,0.033769
190.429688,0.079632
190.673828,0.120444
190.917969,0.069224
191.162109,0.140046
191.406250,0.094829
191.650391,0.003543
191.894531,0.262221
192.138672,0.090403
192.382812,0.001387
192.626953,0.004991
192.871094,0.021419
193.115234,0.003313
193.359375,0.159005
193.603516,0.409629
193.847656,0.120200
194.091797,0.235661
194.335938,0.225457
194.580078,0.039649
194.824219,0.006222
195.068359,0.131012
195.312500,0.103063
195.556641,0.007338
195.800781,0.024996
196.044922,0.260958
196.289062,0.187538
196.533203,0.080434
196.777344,0.330269
197.021484,0.119513
197.265625,0.342354
197.509766,0.136174
197.753906,0.022226
197.998047,0.090866
198.242188,0.250383
198.486328,0.274053
198.730469,0.085501
198.974609,0.123314
199.218750,0.003237
199.462891,0.088923
199.707031,0.035634
199.951172,0.037338
200.195312,0.337737
200.439453,0.381537
200.683594,0.020180
200.927734,0.053834
201.171875,0.033686
201.416016,0.002937
201.660156,0.102643
201.904297,0.053808
202.148438,0.096725
202.392578,0.066883
202.636719,0.020786
202.880859,0.287319
203.125000,0.167957
203.369141,0.081769
203.613281,0.149517
203.857422,0.111404
204.101562,0.041950
204.345703,0.003052
204.589844,0.207713
204.833984,0.072367
205.078125,0.103169
205.322266,0.042804
205.566406,0.068645
205.810547,0.102710
206.054688,0.050085
206.298828,0.107441
206.542969,0.335450
206.787109,0.192718
207.031250,0.008471
207.275391,0.046619
207.519531,0.073977
207.763672,0.198977
208.007812,0.016426
208.251953,0.188374
208.496094,0.036192
208.740234,0.176937
208.984375,0.014564
209.228516,0.034793
209.472656,0.231862
209.716797,0.104604
209.960938,0.184005
210.205078,0.281871
210.449219,0.237235
210.693359,0.289732
210.937500,0.054527
211.181641,0.127932
211.425781,0.240291
211.669922,0.059013
211.914062,0.051912
212.158203,0.131970
212.402344,0.094335
212.646484,0.005406
212.890625,0.003612
213.134766,0.029791
213.378906,0.186507
213.623047,0.093151
213.867188,0.148658
214.111328,0.139790
214.355469,0.024972
214.599609,0.104777
214.843750,0.091694
215.087891,0.300466
215.332031,0.224223
215.576172,0.164983
215.820312,0.021786
216.064453,0.009473
216.308594,0.290386
216.552734,0.110891
216.796875,0.156100
217.041016,0.066761
217.285156,0.369644
217.529297,0.211046
217.773438,0.247728
218.017578,0.138615
218.261719,0.180727
218.505859,0.000014
218.750000,0.099688
218.994141,0.064536
219.238281,0.376017
219.482422,0.705015
219.726562,0.102113
219.970703,0.226957
220.214844,0.485911
220.458984,0.488088
220.703125,0.140360
220.947266,0.037829
221.191406,0.006766
221.435547,0.031687
221.679688,0.069155
221.923828,0.003317
222.167969,0.062271
222.412109,0.113218
222.656250,0.089006
222.900391,0.004843
223.144531,0.024064
223.388672,0.006133
223.632812,0.062446
223.876953,0.050320
224.121094,0.198724
224.365234,0.143037
224.609375,0.143109
224.853516,0.037050
225.097656,0.267908
225.341797,0.182715
225.585938,0.019512
225.830078,0.005747
226.074219,0.246456
226.318359,0.242400
226.562500,0.078513
226.806641,0.082729
227.050781,0.004632
227.294922,0.143858
227.539062,0.352315
227.783203,0.095069
228.027344,0.067568
228.271484,0.290404
228.515625,0.309316
228.759766,0.376647
229.003906,0.025839
229.248047,0.064056
229.492188,0.455465
229.736328,0.025077
229.980469,0.210101
230.224609,0.190198
230.468750,0.022295
230.712891,0.059839
230.957031,0.224395
231.201172,0.180436
231.445312,0.111218
231.689453,0.381118
231.933594,0.260364
232.177734,0.255388
232.421875,0.246448
232.666016,0.421747
232.910156,0.135623
233.154297,0.262937
233.398438,0.056090
233.642578,0.025179
233.886719,0.100755
234.130859,0.049041
234.375000,0.049334
234.619141,0.204652
234.863281,0.039047
235.107422,0.084875
235.351562,0.115976
235.595703,0.067310
235.839844,0.154742
236.083984,0.173946
236.328125,0.030486
236.572266,0.093617
236.816406,0.047713
237.060547,0.118820
237.304688,0.089162
237.548828,0.214761
237.792969,0.112299
238.037109,0.225573
238.281250,0.034368
238.525391,0.046440
238.769531,0.292724
239.013672,0.327438
239.257812,0.489956
239.501953,0.298760
239.746094,0.062679
