freq_hz,lsd
0.000000,3.704669
0.976562,3.184746
1.953125,2.739701
2.929688,2.406623
3.906250,1.961044
4.882812,2.003894
5.859375,1.945492
6.835938,2.012959
7.812500,1.964988
8.789062,1.974029
9.765625,1.940815
10.742188,1.864964
11.718750,1.830676
12.695312,1.906199
13.671875,1.934574
14.648438,1.863839
15.625000,1.670116
16.601562,1.601713
17.578125,1.575956
18.554688,1.388372
19.531250,1.428810
20.507812,1.248927
21.484375,1.681919
22.460938,1.463369
23.437500,1.181338
24.414062,1.128895
25.390625,1.236409
26.367188,1.081489
27.343750,1.215508
28.320312,1.261986
29.296875,1.181652
30.273438,0.933800
31.250000,1.063031
32.226562,1.030202
33.203125,1.143566
34.179688,1.195345
35.156250,1.072976
36.132812,1.061211
37.109375,1.094316
38.085938,1.234421
39.062500,1.060974
40.039062,0.992564
41.015625,1.079792
41.992188,1.109795
42.968750,1.116553
43.945312,1.113518
44.921875,1.192827
45.898438,1.421563
46.875000,1.304562
47.851562,1.273953
48.828125,1.167957
49.804688,1.129672
50.781250,1.288435
51.757812,1.418284
52.734375,1.222607
53.710938,1.549251
54.687500,1.702260
55.664062,1.560024
56.640625,1.619904
57.617188,1.591465
58.593750,1.501426
59.570312,1.484792
60.546875,1.283617
61.523438,1.309231
62.500000,1.221228
63.476562,1.372868
64.453125,1.399247
65.429688,1.571016
66.406250,1.476776
67.382812,1.235216
68.359375,1.141163
69.335938,1.139255
70.312500,1.499246
71.289062,1.323986
72.265625,1.452511
73.242188,1.451001
74.218750,1.338161
75.195312,1.354737
76.171875,1.475017
77.148438,1.584623
78.125000,1.490273
79.101562,1.428421
80.078125,1.256598
81.054688,1.480650
82.031250,1.589320
83.007812,1.469466
83.984375,1.538040
84.960938,1.597072
85.937500,1.537335
86.914062,1.618911
87.890625,1.575331
88.867188,1.394745
89.843750,1.362392
90.820312,1.597951
91.796875,1.909885
92.773438,1.845964
93.750000,1.656922
94.726562,1.333066
95.703125,1.387526
96.679688,1.617752
97.656250,1.661490
98.632812,1.581427
99.609375,1.515477
100.585938,1.622864
101.562500,1.676008
102.539062,1.492095
103.515625,1.632153
104.492188,1.609409
105.468750,1.517980
106.445312,1.624217
107.421875,1.478675
108.398438,1.592081
109.375000,1.614489
110.351562,1.681208
111.328125,1.674128
112.304688,1.580550
113.281250,1.467241
114.257812,1.412383
115.234375,1.546713
116.210938,1.857821
117.187500,1.670890
118.164062,1.567574
119.140625,1.680324
120.117188,1.562695
121.093750,1.527088
122.070312,1.759880
123.046875,1.530581
124.023438,1.483173
125.000000,1.538189
125.976562,1.500559
126.953125,1.373494
127.929688,1.349640
128.906250,1.417485
129.882812,1.551689
130.859375,1.693964
131.835938,1.530688
132.812500,1.263373
133.789062,1.492468
134.765625,1.331306
135.742188,1.266864
136.718750,1.294807
137.695312,1.503595
138.671875,1.410985
139.648438,1.467928
140.625000,1.217884
141.601562,1.242870
142.578125,1.213299
143.554688,1.298639
144.531250,1.437012
145.507812,1.488093
146.484375,1.548079
147.460938,1.433339
148.437500,1.504158
149.414062,1.617903
150.390625,1.640583
151.367188,1.530169
152.343750,1.398730
153.320312,1.234591
154.296875,1.155435
155.273438,1.182073
156.250000,1.378408
157.226562,1.258837
158.203125,1.291130
159.179688,1.205091
160.156250,1.351280
161.132812,1.332654
162.109375,1.392344
163.085938,1.540526
164.062500,1.509978
165.039062,1.456411
166.015625,1.472271
166.992188,1.344021
167.968750,1.244016
168.945312,1.267434
169.921875,1.127952
170.898438,1.186550
171.875000,1.146054
172.851562,1.375388
173.828125,1.529477
174.804688,1.554241
175.781250,1.610189
176.757812,1.469145
177.734375,1.316081
178.710938,1.117585
179.687500,0.994940
180.664062,1.156080
181.640625,0.937571
182.617188,1.161032
183.593750,1.045882
184.570312,1.164814
185.546875,1.292462
186.523438,1.343199
187.500000,1.199127
188.476562,1.103191
189.453125,1.178222
190.429688,1.084349
191.406250,1.124788
192.382812,0.949464
193.359375,1.052544
194.335938,1.276516
195.312500,1.121282
196.289062,1.118170
197.265625,1.178396
198.242188,1.262010
199.218750,1.171525
200.195312,1.068581
201.171875,1.192286
202.148438,1.173106
203.125000,1.133718
204.101562,1.255075
205.078125,1.241707
206.054688,1.215774
207.031250,1.294263
208.007812,1.150695
208.984375,1.153349
209.960938,1.073782
210.937500,1.057150
211.914062,1.185732
212.890625,1.253165
213.867188,1.150472
214.843750,1.049145
215.820312,1.187395
216.796875,1.249382
217.773438,1.090199
218.750000,1.174189
219.726562,1.092748
220.703125,1.219055
221.679688,1.206236
222.656250,1.036494
223.632812,1.180318
224.609375,1.049527
225.585938,1.150834
226.562500,1.095710
227.539062,1.009949
228.515625,0.941698
229.492188,1.071208
230.468750,1.159075
231.445312,1.219923
232.421875,1.271005
233.398438,1.155084
234.375000,1.191587
235.351562,1.085301
236.328125,1.114866
237.304688,1.116183
238.281250,1.045420
239.257812,1.135945
240.234375,1.140957
241.210938,1.310595
242.187500,1.153918
243.164062,1.058163
244.140625,1.064323
245.117188,1.045799
246.093750,1.206108
247.070312,1.163380
248.046875,1.299778
249.023438,1.247922
250.000000,1.392366
250.976562,1.245520
251.953125,1.117360
252.929688,1.239048
253.906250,1.005751
254.882812,1.208938
255.859375,1.238356
256.835938,1.276991
257.812500,1.313756
258.789062,1.244684
259.765625,1.146352
260.742188,1.186431
261.718750,1.292156
262.695312,1.315345
263.671875,1.280714
264.648438,1.416266
265.625000,1.178042
266.601562,0.991732
267.578125,1.123834
268.554688,1.169982
269.531250,1.164644
270.507812,1.207305
271.484375,1.239472
272.460938,1.207139
273.437500,1.042791
274.414062,0.915769
275.390625,0.960646
276.367188,0.947764
277.343750,1.179924
278.320312,1.232125
279.296875,1.201351
280.273438,1.180141
281.250000,1.192943
282.226562,1.076554
283.203125,1.191436
284.179688,1.018220
285.156250,1.072762
286.132812,1.149184
287.109375,1.135984
288.085938,1.166178
289.062500,1.025646
290.039062,1.049186
291.015625,1.121093
291.992188,0.964412
292.968750,0.958344
293.945312,1.348824
294.921875,1.268377
295.898438,1.222963
296.875000,1.268677
297.851562,1.433193
298.828125,1.315699
299.804688,1.341311
300.781250,1.256477
301.757812,1.244358
302.734375,0.965769
303.710938,1.296819
304.687500,1.254252
305.664062,1.479908
306.640625,1.203708
307.617188,1.525141
308.593750,1.157699
309.570312,1.352450
310.546875,1.125127
311.523438,1.070745
312.500000,1.170247
313.476562,1.225063
314.453125,1.234921
315.429688,1.170580
316.406250,1.214295
317.382812,1.199924
318.359375,1.153536
319.335938,1.115186
320.312500,1.110737
321.289062,0.953537
322.265625,1.070013
323.242188,1.330541
324.218750,1.223493
325.195312,1.275387
326.171875,1.283108
327.148438,1.235478
328.125000,1.205327
329.101562,1.131476
330.078125,1.303566
331.054688,1.268026
332.031250,1.470906
333.007812,1.332085
333.984375,1.143746
334.960938,1.097400
335.937500,1.113947
336.914062,1.197038
337.890625,1.188168
338.867188,1.195697
339.843750,1.172242
340.820312,1.121013
341.796875,1.416883
342.773438,1.186846
343.750000,1.126713
344.726562,1.407245
345.703125,1.397421
346.679688,1.396460
347.656250,1.447809
348.632812,1.361692
349.609375,1.224949
350.585938,1.342005
351.562500,1.395569
352.539062,1.520960
353.515625,1.544047
354.492188,1.470688
355.468750,1.409120
356.445312,1.438197
357.421875,1.329528
358.398438,1.104536
359.375000,1.285309
360.351562,1.156960
361.328125,1.125059
362.304688,1.136138
363.281250,1.177134
364.257812,1.149060
365.234375,1.096633
366.210938,1.079901
367.187500,1.118820
368.164062,0.934624
369.140625,0.980373
370.117188,1.092602
371.093750,1.240391
372.070312,1.201310
373.046875,1.220155
374.023438,1.312186
375.000000,1.281340
375.976562,1.304732
376.953125,1.133497
377.929688,1.082281
378.906250,1.011729
379.882812,1.174353
380.859375,1.047267
381.835938,1.281930
382.812500,1.235938
383.789062,1.121124
384.765625,1.242274
385.742188,1.296429
386.718750,1.164905
387.695312,1.150357
388.671875,1.232704
389.648438,1.051254
390.625000,1.167526
391.601562,1.202083
392.578125,1.307430
393.554688,1.385252
394.531250,1.376806
395.507812,1.354590
396.484375,1.257574
397.460938,1.390341
398.437500,1.466705
399.414062,1.563900
400.390625,1.344797
401.367188,1.375612
402.343750,1.434652
403.320312,1.053125
404.296875,1.213578
405.273438,1.348835
406.250000,1.302149
407.226562,1.393410
408.203125,1.310854
409.179688,1.298254
410.156250,1.362332
411.132812,1.137526
412.109375,1.021489
413.085938,1.093993
414.062500,1.088646
415.039062,1.122962
416.015625,1.106154
416.992188,1.198652
417.968750,1.185619
418.945312,0.992150
419.921875,0.963931
420.898438,1.031582
421.875000,1.039725
422.851562,1.153988
423.828125,1.134741
424.804688,1.126081
425.781250,1.126539
426.757812,1.083245
427.734375,0.969275
428.710938,1.166176
429.687500,1.072655
430.664062,1.032367
431.640625,1.141272
432.617188,1.122601
433.593750,1.249001
434.570312,1.269012
435.546875,1.019479
436.523438,1.015913
437.500000,1.133222
438.476562,1.123113
439.453125,1.275344
440.429688,1.395230
441.406250,1.282190
442.382812,1.290782
443.359375,1.489072
444.335938,1.525381
445.312500,1.502557
446.289062,1.430079
447.265625,1.409624
448.242188,1.653714
449.218750,1.695486
450.195312,1.661480
451.171875,1.333645
452.148438,1.154003
453.125000,1.096307
454.101562,1.074022
455.078125,1.278976
