freq_hz,lsd
0.000000,4.331862
0.390625,3.361053
0.781250,2.833561
1.171875,2.841475
1.562500,3.219077
1.953125,2.877838
2.343750,2.712676
2.734375,2.792304
3.125000,2.570816
3.515625,2.247533
3.906250,1.953081
4.296875,2.098538
4.687500,1.829363
5.078125,1.809086
5.468750,2.231050
5.859375,2.406132
6.250000,2.417499
6.640625,2.261243
7.031250,2.365094
7.421875,2.428574
7.812500,2.145028
8.203125,1.908195
8.593750,1.962872
8.984375,2.197697
9.375000,2.407889
9.765625,2.229934
10.156250,2.264150
10.546875,2.265432
10.937500,2.080382
11.328125,1.826715
11.718750,2.015518
12.109375,2.398914
12.500000,2.208378
12.890625,2.158292
13.281250,1.832865
13.671875,1.786032
14.062500,2.199382
14.453125,1.910219
14.843750,1.963623
15.234375,2.090582
15.625000,2.231779
16.015625,2.211396
16.406250,2.227881
16.796875,2.405376
17.187500,2.207292
17.578125,2.143451
17.968750,2.140018
18.359375,1.944823
18.750000,1.959170
19.140625,2.025270
19.531250,1.949871
19.921875,2.335362
20.312500,2.019861
20.703125,2.049634
21.093750,1.804861
21.484375,2.127945
21.875000,2.524060
22.265625,2.321902
22.656250,2.082867
23.046875,1.602769
23.437500,1.405717
23.828125,1.867343
24.218750,2.254866
24.609375,1.957469
25.000000,1.881712
25.390625,1.902995
25.781250,1.837763
26.171875,1.746770
26.562500,1.382202
26.953125,1.585900
27.343750,2.196879
27.734375,2.051143
28.125000,1.867078
28.515625,2.027381
28.906250,2.068037
29.296875,1.737066
29.687500,1.825460
30.078125,2.208382
30.468750,2.063910
30.859375,2.056388
31.250000,1.690193
31.640625,1.720186
32.031250,1.979053
32.421875,1.727983
32.812500,1.414566
33.203125,1.323469
33.593750,1.356797
33.984375,1.859794
34.375000,1.637614
34.765625,1.519537
35.156250,1.286618
35.546875,1.237071
35.937500,1.375520
36.328125,1.850446
36.718750,1.425330
37.109375,1.552756
37.500000,1.588409
37.890625,1.784029
38.281250,1.964689
38.671875,1.738654
39.062500,1.467104
39.453125,1.373322
39.843750,1.586721
40.234375,1.616010
40.625000,1.321550
41.015625,1.209251
41.406250,1.326320
41.796875,1.273246
42.187500,1.546253
42.578125,1.529009
42.968750,1.570905
43.359375,1.847614
43.750000,1.478183
44.140625,1.048976
44.531250,1.134072
44.921875,1.261241
45.312500,1.101150
45.703125,1.698329
46.093750,1.587264
46.484375,1.621668
46.875000,1.316798
47.265625,0.771671
47.656250,1.167997
48.046875,1.151933
48.437500,1.224048
48.828125,1.608635
49.218750,1.713914
49.609375,1.313816
50.000000,1.233524
50.390625,1.040481
50.781250,1.142316
51.171875,1.294673
51.562500,1.636731
51.953125,1.083531
52.343750,1.150907
52.734375,1.251484
53.125000,1.199155
53.515625,1.067548
53.906250,1.256114
54.296875,1.459764
54.687500,1.652507
55.078125,1.717478
55.468750,1.542151
55.859375,1.430496
56.250000,1.180643
56.640625,1.331553
57.031250,1.051115
57.421875,1.158854
57.812500,1.344093
58.203125,1.486881
58.593750,1.590559
