freq_hz,coherence
0.000000,0.000824
1.953125,0.002187
3.906250,0.004534
5.859375,0.008776
7.812500,0.015411
9.765625,0.014351
11.718750,0.002848
13.671875,0.017178
15.625000,0.015191
17.578125,0.006862
19.531250,0.003806
21.484375,0.000461
23.437500,0.024743
25.390625,0.007019
27.343750,0.030840
29.296875,0.005254
31.250000,0.011424
33.203125,0.008448
35.156250,0.000401
37.109375,0.006337
39.062500,0.030077
41.015625,0.001875
42.968750,0.059694
44.921875,0.037607
46.875000,0.022122
48.828125,0.065956
50.781250,0.054219
52.734375,0.060285
54.687500,0.027273
56.640625,0.003480
58.593750,0.003529
60.546875,0.007670
62.500000,0.034460
64.453125,0.163820
66.406250,0.092668
68.359375,0.101769
70.312500,0.057767
72.265625,0.017351
74.218750,0.027984
76.171875,0.009866
78.125000,0.006292
80.078125,0.000068
82.031250,0.005668
83.984375,0.044456
85.937500,0.149320
87.890625,0.195711
89.843750,0.027417
91.796875,0.001316
93.750000,0.009791
95.703125,0.102143
97.656250,0.215888
99.609375,0.123611
101.562500,0.019854
103.515625,0.010515
105.468750,0.031689
107.421875,0.060755
109.375000,0.139660
111.328125,0.098806
113.281250,0.015430
115.234375,0.017011
117.187500,0.028466
119.140625,0.007501
121.093750,0.009156
123.046875,0.005757
125.000000,0.045767
126.953125,0.028169
128.906250,0.011605
130.859375,0.024426
132.812500,0.044371
134.765625,0.043443
136.718750,0.005224
138.671875,0.008324
140.625000,0.109282
142.578125,0.124163
144.531250,0.028405
146.484375,0.049252
148.437500,0.081338
150.390625,0.013038
152.343750,0.028179
154.296875,0.010297
156.250000,0.002432
158.203125,0.042653
160.156250,0.118541
162.109375,0.121504
164.062500,0.183583
166.015625,0.092149
167.968750,0.001110
169.921875,0.047128
171.875000,0.055522
173.828125,0.061473
175.781250,0.022113
177.734375,0.003140
179.687500,0.005132
181.640625,0.025500
183.593750,0.008836
185.546875,0.011061
187.500000,0.010509
189.453125,0.002204
191.406250,0.001209
193.359375,0.000660
195.312500,0.067505
197.265625,0.129927
199.218750,0.022816
201.171875,0.009600
203.125000,0.003927
205.078125,0.050058
207.031250,0.011934
208.984375,0.001120
210.937500,0.006009
212.890625,0.000714
214.843750,0.013123
216.796875,0.005378
218.750000,0.026297
220.703125,0.068832
222.656250,0.048747
224.609375,0.017985
226.562500,0.000458
228.515625,0.001303
230.468750,0.003279
232.421875,0.020072
234.375000,0.027581
236.328125,0.015949
238.281250,0.005723
240.234375,0.027303
242.187500,0.040106
244.140625,0.002546
246.093750,0.004214
248.046875,0.000357
250.000000,0.008412
251.953125,0.008192
253.906250,0.007911
255.859375,0.002290
257.812500,0.005010
259.765625,0.015685
261.718750,0.111036
263.671875,0.091810
265.625000,0.028208
267.578125,0.004683
269.531250,0.007582
271.484375,0.013248
273.437500,0.043131
275.390625,0.050021
277.343750,0.013634
279.296875,0.032200
281.250000,0.011768
283.203125,0.003022
285.156250,0.018101
287.109375,0.026836
289.062500,0.007489
291.015625,0.008010
292.968750,0.048733
294.921875,0.011893
296.875000,0.075920
298.828125,0.008243
300.781250,0.059448
302.734375,0.019219
304.687500,0.002284
306.640625,0.006363
308.593750,0.009039
310.546875,0.005936
312.500000,0.035473
314.453125,0.021838
316.406250,0.012681
318.359375,0.037064
320.312500,0.027253
322.265625,0.014139
324.218750,0.022958
326.171875,0.012436
328.125000,0.008045
330.078125,0.028197
332.031250,0.013046
333.984375,0.006306
335.937500,0.005968
337.890625,0.014752
339.843750,0.009344
341.796875,0.013671
343.750000,0.033697
345.703125,0.020617
347.656250,0.025308
349.609375,0.025579
351.562500,0.004841
353.515625,0.002457
355.468750,0.000353
357.421875,0.001072
359.375000,0.013119
361.328125,0.031401
363.281250,0.012451
365.234375,0.012172
367.187500,0.000011
369.140625,0.052304
371.093750,0.019148
373.046875,0.028052
375.000000,0.007577
376.953125,0.002781
378.906250,0.007833
380.859375,0.007102
382.812500,0.006849
384.765625,0.004092
386.718750,0.011116
388.671875,0.041949
390.625000,0.018356
392.578125,0.020643
394.531250,0.010358
396.484375,0.046569
398.437500,0.014803
400.390625,0.009022
402.343750,0.039824
404.296875,0.006827
406.250000,0.022779
408.203125,0.028578
410.156250,0.007308
412.109375,0.006054
414.062500,0.076285
416.015625,0.014399
417.968750,0.001034
419.921875,0.068151
421.875000,0.081563
423.828125,0.037377
425.781250,0.035172
427.734375,0.016947
429.687500,0.025311
431.640625,0.032923
433.593750,0.062132
435.546875,0.016693
437.500000,0.030844
439.453125,0.011882
441.406250,0.001679
443.359375,0.003938
445.312500,0.017943
447.265625,0.010733
449.218750,0.009534
451.171875,0.009101
453.125000,0.028044
455.078125,0.038645
457.031250,0.000827
458.984375,0.003328
460.937500,0.000259
462.890625,0.011368
464.843750,0.006218
466.796875,0.006159
468.750000,0.052268
470.703125,0.035046
