freq_hz,psd_fake
0.000000,0.000001
0.976562,0.000006
1.953125,0.000005
2.929688,0.000004
3.906250,0.000004
4.882812,0.000003
5.859375,0.000003
6.835938,0.000003
7.812500,0.000003
8.789062,0.000002
9.765625,0.000002
10.742188,0.000002
11.718750,0.000001
12.695312,0.000002
13.671875,0.000002
14.648438,0.000002
15.625000,0.000001
16.601562,0.000001
17.578125,0.000001
18.554688,0.000001
19.531250,0.000001
20.507812,0.000001
21.484375,0.000001
22.460938,0.000001
23.437500,0.000001
24.414062,0.000000
25.390625,0.000001
26.367188,0.000001
27.343750,0.000001
28.320312,0.000001
29.296875,0.000001
30.273438,0.000001
31.250000,0.000001
32.226562,0.000001
33.203125,0.000001
34.179688,0.000001
35.156250,0.000002
36.132812,0.000001
37.109375,0.000001
38.085938,0.000002
39.062500,0.000002
40.039062,0.000002
41.015625,0.000002
41.992188,0.000002
42.968750,0.000005
43.945312,0.000009
44.921875,0.000009
45.898438,0.000010
46.875000,0.000008
47.851562,0.000011
48.828125,0.000022
49.804688,0.000010
50.781250,0.000009
51.757812,0.000008
52.734375,0.000007
53.710938,0.000010
54.687500,0.000013
55.664062,0.000017
56.640625,0.000071
57.617188,0.000079
58.593750,0.000070
59.570312,0.000106
60.546875,0.000038
61.523438,0.000018
62.500000,0.000018
63.476562,0.000018
64.453125,0.000075
65.429688,0.000160
66.406250,0.000078
67.382812,0.000044
68.359375,0.000037
69.335938,0.000030
70.312500,0.000027
71.289062,0.000036
72.265625,0.000057
73.242188,0.000062
74.218750,0.000066
75.195312,0.000057
76.171875,0.000038
77.148438,0.000043
78.125000,0.000051
79.101562,0.000047
80.078125,0.000044
81.054688,0.000054
82.031250,0.000065
83.007812,0.000051
83.984375,0.000046
84.960938,0.000061
85.937500,0.000096
86.914062,0.000748
87.890625,0.000903
88.867188,0.000160
89.843750,0.000056
90.820312,0.000085
91.796875,0.000440
92.773438,0.000830
93.750000,0.000281
94.726562,0.000084
95.703125,0.000115
96.679688,0.000240
97.656250,0.002023
98.632812,0.003861
99.609375,0.001365
100.585938,0.000367
101.562500,0.000084
102.539062,0.000043
103.515625,0.000065
104.492188,0.000104
105.468750,0.000095
106.445312,0.000089
107.421875,0.000129
108.398438,0.000178
109.375000,0.000326
110.351562,0.000467
111.328125,0.000301
112.304688,0.000222
113.281250,0.000270
114.257812,0.000258
115.234375,0.000469
116.210938,0.001477
117.187500,0.001290
118.164062,0.000449
119.140625,0.000196
120.117188,0.000189
121.093750,0.000176
