freq_hz,lsd
0.000000,3.459389
1.220703,2.880575
2.441406,2.376564
3.662109,1.932843
4.882812,1.909667
6.103516,1.621894
7.324219,1.652320
8.544922,1.779691
9.765625,1.774240
10.986328,1.547660
12.207031,1.586100
13.427734,1.623766
14.648438,1.666888
15.869141,1.588487
17.089844,1.641304
18.310547,1.399690
19.531250,1.395496
20.751953,1.236919
21.972656,1.334398
23.193359,1.132587
24.414062,1.245642
25.634766,1.166239
26.855469,0.998206
28.076172,1.252367
29.296875,1.092288
30.517578,0.981636
31.738281,1.070041
32.958984,1.100666
34.179688,1.097084
35.400391,1.154351
36.621094,1.124483
37.841797,1.093604
39.062500,1.041974
40.283203,0.908907
41.503906,0.967283
42.724609,1.111033
43.945312,1.305332
45.166016,1.357374
46.386719,1.290895
47.607422,1.029482
48.828125,1.318471
50.048828,1.411943
51.269531,1.052397
52.490234,1.140481
53.710938,1.476809
54.931641,1.664479
56.152344,1.420335
57.373047,1.331465
58.593750,1.592516
59.814453,1.270652
61.035156,1.252386
62.255859,1.477990
63.476562,1.323645
64.697266,1.658371
65.917969,1.755523
67.138672,1.509945
68.359375,1.335291
69.580078,1.390507
70.800781,1.489823
72.021484,1.383495
73.242188,1.473492
74.462891,1.507969
75.683594,1.354548
76.904297,1.459087
78.125000,1.329932
79.345703,1.380118
80.566406,1.441542
81.787109,1.382792
83.007812,1.396477
84.228516,1.428349
85.449219,1.384556
86.669922,1.651007
87.890625,1.852944
89.111328,1.496914
90.332031,1.354929
91.552734,1.556770
92.773438,1.781688
93.994141,1.351930
95.214844,1.238459
96.435547,1.299488
97.656250,1.667025
98.876953,1.632408
100.097656,1.371982
101.318359,1.329270
102.539062,1.352151
103.759766,1.390759
104.980469,1.301043
106.201172,1.472843
107.421875,1.359063
108.642578,1.451186
109.863281,1.475451
111.083984,1.434466
112.304688,1.479984
113.525391,1.487585
114.746094,1.733698
115.966797,1.721976
117.187500,1.789841
118.408203,1.627459
119.628906,1.836066
120.849609,1.743672
122.070312,1.811412
123.291016,1.432201
124.511719,1.532835
125.732422,1.474016
126.953125,1.335363
128.173828,1.437295
129.394531,1.397906
130.615234,1.552684
131.835938,1.620422
133.056641,1.436527
134.277344,1.371891
135.498047,1.361212
136.718750,1.290882
137.939453,1.382361
139.160156,1.397524
140.380859,1.111721
141.601562,1.086161
142.822266,1.179700
144.042969,1.305798
145.263672,1.075864
146.484375,1.446822
147.705078,1.452114
148.925781,1.351488
150.146484,1.375429
151.367188,1.220737
152.587891,1.227493
153.808594,1.240424
155.029297,1.199064
156.250000,1.171105
157.470703,1.238828
158.691406,1.228920
159.912109,1.310176
161.132812,1.428412
162.353516,1.379735
163.574219,1.446394
164.794922,1.536598
166.015625,1.579916
