freq_hz,psd_fake
0.000000,0.000001
3.906250,0.000002
7.812500,0.000003
11.718750,0.000002
15.625000,0.000001
19.531250,0.000001
23.437500,0.000001
27.343750,0.000001
31.250000,0.000001
35.156250,0.000001
39.062500,0.000001
42.968750,0.000002
46.875000,0.000008
50.781250,0.000010
54.687500,0.000008
58.593750,0.000015
62.500000,0.000019
66.406250,0.000027
70.312500,0.000065
74.218750,0.000092
78.125000,0.000032
82.031250,0.000026
85.937500,0.000070
89.843750,0.000076
93.750000,0.000200
97.656250,0.001027
101.562500,0.000489
105.468750,0.000106
109.375000,0.000150
113.281250,0.000173
117.187500,0.000263
121.093750,0.000122
125.000000,0.000036
128.906250,0.000057
132.812500,0.000071
136.718750,0.000027
140.625000,0.000019
144.531250,0.000065
148.437500,0.000103
152.343750,0.000040
156.250000,0.000022
160.156250,0.000043
164.062500,0.000093
167.968750,0.000073
171.875000,0.000042
175.781250,0.000035
179.687500,0.000016
183.593750,0.000011
187.500000,0.000009
191.406250,0.000007
195.312500,0.000008
199.218750,0.000008
203.125000,0.000005
207.031250,0.000004
210.937500,0.000004
214.843750,0.000008
218.750000,0.000018
222.656250,0.000011
226.562500,0.000004
230.468750,0.000003
234.375000,0.000005
238.281250,0.000004
242.187500,0.000005
246.093750,0.000009
250.000000,0.000006
253.906250,0.000005
257.812500,0.000008
261.718750,0.000013
265.625000,0.000009
269.531250,0.000004
273.437500,0.000003
277.343750,0.000004
281.250000,0.000004
285.156250,0.000004
289.062500,0.000008
292.968750,0.000018
296.875000,0.000018
300.781250,0.000007
304.687500,0.000005
308.593750,0.000005
312.500000,0.000004
316.406250,0.000003
320.312500,0.000005
324.218750,0.000006
328.125000,0.000011
332.031250,0.000010
335.937500,0.000007
339.843750,0.000007
343.750000,0.000010
347.656250,0.000011
351.562500,0.000012
355.468750,0.000008
359.375000,0.000006
363.281250,0.000007
367.187500,0.000005
371.093750,0.000004
375.000000,0.000005
378.906250,0.000006
382.812500,0.000006
386.718750,0.000007
390.625000,0.000012
394.531250,0.000018
398.437500,0.000008
402.343750,0.000007
406.250000,0.000008
410.156250,0.000009
414.062500,0.000006
417.968750,0.000005
421.875000,0.000005
425.781250,0.000005
429.687500,0.000004
433.593750,0.000005
437.500000,0.000009
441.406250,0.000013
445.312500,0.000014
449.218750,0.000011
453.125000,0.000008
457.031250,0.000007
460.937500,0.000006
464.843750,0.000005
468.750000,0.000007
472.656250,0.000006
476.562500,0.000005
480.468750,0.000004
484.375000,0.000004
488.281250,0.000008
492.187500,0.000014
496.093750,0.000012
500.000000,0.000008
503.906250,0.000007
507.812500,0.000005
511.718750,0.000005
515.625000,0.000006
519.531250,0.000008
523.437500,0.000020
527.343750,0.000020
531.250000,0.000009
535.156250,0.000006
539.062500,0.000009
542.968750,0.000009
546.875000,0.000005
550.781250,0.000005
554.687500,0.000006
558.593750,0.000005
562.500000,0.000004
566.406250,0.000004
570.312500,0.000004
574.218750,0.000004
578.125000,0.000006
582.031250,0.000015
585.937500,0.000024
589.843750,0.000037
593.750000,0.000018
597.656250,0.000007
601.562500,0.000008
605.468750,0.000007
609.375000,0.000006
613.281250,0.000004
617.187500,0.000003
621.093750,0.000003
625.000000,0.000004
628.906250,0.000004
632.812500,0.000004
636.718750,0.000005
640.625000,0.000006
644.531250,0.000006
648.437500,0.000005
652.343750,0.000006
656.250000,0.000008
660.156250,0.000010
664.062500,0.000008
667.968750,0.000006
671.875000,0.000004
675.781250,0.000004
679.687500,0.000004
683.593750,0.000004
687.500000,0.000004
691.406250,0.000005
695.312500,0.000006
699.218750,0.000007
703.125000,0.000006
707.031250,0.000004
710.937500,0.000003
714.843750,0.000002
718.750000,0.000002
722.656250,0.000002
726.562500,0.000002
730.468750,0.000002
734.375000,0.000003
738.281250,0.000005
742.187500,0.000003
746.093750,0.000004
750.000000,0.000003
753.906250,0.000002
757.812500,0.000003
761.718750,0.000003
765.625000,0.000003
769.531250,0.000003
773.437500,0.000003
777.343750,0.000003
781.250000,0.000004
785.156250,0.000009
789.062500,0.000011
792.968750,0.000006
796.875000,0.000003
800.781250,0.000004
804.687500,0.000003
808.593750,0.000002
812.500000,0.000002
816.406250,0.000002
820.312500,0.000003
824.218750,0.000003
828.125000,0.000003
832.031250,0.000003
835.937500,0.000003
839.843750,0.000003
843.750000,0.000003
847.656250,0.000003
851.562500,0.000003
855.468750,0.000002
859.375000,0.000002
863.281250,0.000002
867.187500,0.000002
871.093750,0.000002
