freq_hz,lsd
0.000000,4.214667
0.195312,3.746386
0.390625,2.822878
0.585938,2.200428
0.781250,2.075143
0.976562,1.711612
1.171875,1.944896
1.367188,3.117693
1.562500,2.700391
1.757812,2.388831
1.953125,2.501033
2.148438,2.099508
2.343750,2.314556
2.539062,2.287600
2.734375,2.428572
2.929688,1.882156
3.125000,1.925909
3.320312,2.227611
3.515625,2.132422
3.710938,1.714267
3.906250,1.425575
4.101562,1.421450
4.296875,1.339931
4.492188,1.440029
4.687500,1.355647
4.882812,1.336732
5.078125,1.250796
5.273438,1.685606
5.468750,1.750900
5.664062,1.727698
5.859375,1.940580
6.054688,1.908165
6.250000,1.378041
6.445312,1.196059
6.640625,1.143863
6.835938,1.356538
7.031250,1.460850
7.226562,1.724496
7.421875,1.661726
7.617188,1.540020
7.812500,1.396966
8.007812,1.114237
8.203125,1.342275
8.398438,1.247168
8.593750,1.378145
8.789062,1.449300
8.984375,1.994844
9.179688,1.773040
9.375000,2.147715
9.570312,1.854019
9.765625,1.562687
9.960938,2.162125
10.156250,2.538496
10.351562,2.096456
10.546875,1.676452
10.742188,1.510969
10.937500,1.476743
11.132812,1.762537
11.328125,1.604860
11.523438,1.457714
11.718750,1.597278
11.914062,1.846426
12.109375,2.226162
12.304688,1.973594
12.500000,1.774859
12.695312,2.277937
12.890625,2.313207
13.085938,1.774536
13.281250,1.416903
13.476562,1.425003
13.671875,1.643996
13.867188,1.687313
14.062500,1.478980
14.257812,1.750836
14.453125,1.817325
14.648438,2.061075
14.843750,2.119532
15.039062,2.340655
15.234375,2.173826
15.429688,1.940539
15.625000,1.793956
15.820312,1.701566
16.015625,1.770088
16.210938,1.397194
16.406250,1.635150
16.601562,1.855017
16.796875,2.001237
16.992188,1.723007
17.187500,1.944267
17.382812,1.904577
17.578125,2.248810
17.773438,1.920907
17.968750,2.214332
18.164062,1.944281
18.359375,1.909512
18.554688,2.102413
18.750000,1.835001
18.945312,1.573475
19.140625,1.534947
19.335938,1.565313
19.531250,1.596051
19.726562,1.876486
19.921875,1.998901
20.117188,1.860154
20.312500,1.595642
20.507812,1.604852
20.703125,1.611549
20.898438,1.986033
21.093750,1.499591
