freq_hz,psd_real
0.000000,0.000000
4.882812,0.000000
9.765625,0.000000
14.648438,0.000000
19.531250,0.000000
24.414062,0.000000
29.296875,0.000000
34.179688,0.000000
39.062500,0.000001
43.945312,0.000005
48.828125,0.000014
53.710938,0.000038
58.593750,0.000054
63.476562,0.000049
68.359375,0.000070
73.242188,0.000096
78.125000,0.000065
83.007812,0.000108
87.890625,0.000242
92.773438,0.000341
97.656250,0.000798
102.539062,0.000378
107.421875,0.000245
112.304688,0.000416
117.187500,0.000491
122.070312,0.000184
126.953125,0.000111
131.835938,0.000151
136.718750,0.000069
141.601562,0.000054
146.484375,0.000138
151.367188,0.000084
156.250000,0.000062
161.132812,0.000132
166.015625,0.000138
170.898438,0.000081
175.781250,0.000093
180.664062,0.000032
185.546875,0.000026
190.429688,0.000018
195.312500,0.000026
200.195312,0.000017
205.078125,0.000006
209.960938,0.000005
214.843750,0.000009
219.726562,0.000031
224.609375,0.000018
229.492188,0.000010
234.375000,0.000015
239.257812,0.000006
244.140625,0.000004
249.023438,0.000004
253.906250,0.000004
258.789062,0.000010
263.671875,0.000020
268.554688,0.000008
273.437500,0.000004
278.320312,0.000006
283.203125,0.000005
288.085938,0.000005
292.968750,0.000021
297.851562,0.000026
302.734375,0.000010
307.617188,0.000003
312.500000,0.000004
317.382812,0.000003
322.265625,0.000003
327.148438,0.000012
332.031250,0.000020
336.914062,0.000010
341.796875,0.000012
346.679688,0.000026
351.562500,0.000041
356.445312,0.000022
361.328125,0.000007
366.210938,0.000005
371.093750,0.000006
375.976562,0.000005
380.859375,0.000006
385.742188,0.000007
390.625000,0.000017
395.507812,0.000028
400.390625,0.000013
405.273438,0.000006
410.156250,0.000006
415.039062,0.000006
419.921875,0.000006
424.804688,0.000006
429.687500,0.000005
434.570312,0.000010
439.453125,0.000039
444.335938,0.000059
449.218750,0.000028
454.101562,0.000010
458.984375,0.000009
463.867188,0.000018
468.750000,0.000027
473.632812,0.000017
478.515625,0.000007
483.398438,0.000005
488.281250,0.000007
493.164062,0.000015
498.046875,0.000016
502.929688,0.000008
507.812500,0.000005
512.695312,0.000005
517.578125,0.000011
522.460938,0.000042
527.343750,0.000041
532.226562,0.000014
537.109375,0.000007
541.992188,0.000006
546.875000,0.000004
551.757812,0.000007
556.640625,0.000012
561.523438,0.000011
566.406250,0.000008
571.289062,0.000007
576.171875,0.000011
581.054688,0.000018
585.937500,0.000040
590.820312,0.000061
595.703125,0.000024
600.585938,0.000011
605.468750,0.000008
610.351562,0.000005
615.234375,0.000003
620.117188,0.000003
625.000000,0.000002
629.882812,0.000002
634.765625,0.000002
639.648438,0.000003
644.531250,0.000003
649.414062,0.000003
654.296875,0.000006
659.179688,0.000012
664.062500,0.000011
668.945312,0.000007
673.828125,0.000004
678.710938,0.000003
683.593750,0.000004
688.476562,0.000005
693.359375,0.000011
698.242188,0.000013
703.125000,0.000012
708.007812,0.000008
712.890625,0.000006
717.773438,0.000004
722.656250,0.000003
727.539062,0.000001
732.421875,0.000003
737.304688,0.000008
742.187500,0.000006
747.070312,0.000003
751.953125,0.000002
756.835938,0.000002
761.718750,0.000003
766.601562,0.000004
771.484375,0.000004
776.367188,0.000007
781.250000,0.000016
786.132812,0.000023
791.015625,0.000017
795.898438,0.000007
800.781250,0.000005
805.664062,0.000005
810.546875,0.000003
815.429688,0.000003
820.312500,0.000003
825.195312,0.000003
830.078125,0.000003
834.960938,0.000002
839.843750,0.000002
844.726562,0.000002
849.609375,0.000002
854.492188,0.000002
859.375000,0.000002
864.257812,0.000003
869.140625,0.000003
874.023438,0.000006
878.906250,0.000015
883.789062,0.000013
888.671875,0.000011
893.554688,0.000015
898.437500,0.000009
903.320312,0.000006
908.203125,0.000004
913.085938,0.000003
917.968750,0.000003
922.851562,0.000003
927.734375,0.000005
