freq_hz,lsd
0.000000,4.769001
0.244141,3.791810
0.488281,2.569723
0.732422,2.438401
0.976562,2.324660
1.220703,2.678860
1.464844,2.998552
1.708984,3.114221
1.953125,2.767410
2.197266,2.378734
2.441406,2.541687
2.685547,2.347827
2.929688,2.121235
3.173828,2.157959
3.417969,2.199492
3.662109,1.608329
3.906250,1.385143
4.150391,1.145579
4.394531,1.346224
4.638672,1.244536
4.882812,1.477076
5.126953,1.148075
5.371094,1.825207
5.615234,1.689625
5.859375,1.724194
6.103516,1.675957
6.347656,1.482706
6.591797,1.486639
6.835938,1.667411
7.080078,1.906486
7.324219,1.934708
7.568359,2.136836
7.812500,1.640615
8.056641,1.171197
8.300781,1.557449
8.544922,1.501811
8.789062,1.233027
9.033203,1.638715
9.277344,1.843657
9.521484,1.531782
9.765625,1.492328
10.009766,2.116965
10.253906,2.181221
10.498047,2.012921
10.742188,1.655917
10.986328,2.040343
11.230469,1.705584
11.474609,1.416887
11.718750,1.871825
11.962891,2.103554
12.207031,2.590965
12.451172,1.607567
12.695312,1.780389
12.939453,1.828161
13.183594,1.613306
13.427734,1.629313
13.671875,1.747032
13.916016,1.858792
14.160156,1.803113
14.404297,2.072114
14.648438,1.913976
14.892578,2.128748
15.136719,2.276789
15.380859,2.189021
15.625000,1.771065
15.869141,2.165726
16.113281,1.572837
16.357422,1.814915
16.601562,1.899747
16.845703,1.780334
17.089844,1.849600
17.333984,1.831446
17.578125,1.825710
17.822266,2.072762
18.066406,2.207987
18.310547,2.362213
18.554688,1.850007
18.798828,1.768180
19.042969,1.758955
19.287109,1.383348
19.531250,1.630974
19.775391,1.734081
20.019531,1.850415
20.263672,1.791535
20.507812,1.538684
20.751953,1.574856
20.996094,1.613517
21.240234,1.276771
21.484375,1.466648
21.728516,2.241535
21.972656,2.073007
22.216797,1.601117
22.460938,1.982741
22.705078,1.517096
22.949219,1.918466
23.193359,1.471272
23.437500,1.524994
23.681641,1.671574
23.925781,2.033427
24.169922,1.734265
24.414062,1.845314
24.658203,1.826957
24.902344,1.710774
25.146484,1.806286
25.390625,2.127401
25.634766,2.289753
25.878906,2.001574
26.123047,1.584828
26.367188,1.780221
26.611328,1.641204
26.855469,1.626802
27.099609,1.845134
27.343750,2.214598
27.587891,2.147758
27.832031,1.961787
28.076172,1.558043
28.320312,1.786392
28.564453,1.931683
28.808594,1.972513
29.052734,2.041195
29.296875,1.507107
29.541016,1.455064
29.785156,1.747588
30.029297,1.941907
30.273438,2.112774
30.517578,1.804105
30.761719,1.849110
31.005859,1.382131
31.250000,1.354979
31.494141,1.715346
31.738281,1.581036
31.982422,1.696955
32.226562,1.937698
32.470703,1.766834
32.714844,1.659176
32.958984,1.368654
33.203125,1.464752
33.447266,1.297386
33.691406,1.309646
33.935547,1.661248
34.179688,1.361073
34.423828,1.219151
34.667969,1.498568
34.912109,1.563824
35.156250,1.431384
35.400391,1.161812
35.644531,1.020181
35.888672,1.047997
36.132812,2.001427
36.376953,1.816258
36.621094,1.629798
36.865234,1.384127
37.109375,1.520724
37.353516,1.478000
37.597656,1.628081
37.841797,1.623405
38.085938,1.716665
38.330078,1.768014
38.574219,1.607145
38.818359,1.387896
39.062500,1.342975
39.306641,1.452361
39.550781,1.050969
39.794922,1.300882
40.039062,1.477599
40.283203,1.529761
40.527344,1.488856
40.771484,1.098201
41.015625,1.189036
41.259766,0.959352
41.503906,0.753501
41.748047,1.259806
41.992188,1.500878
42.236328,1.436596
42.480469,1.616095
42.724609,1.263155
42.968750,1.110980
43.212891,1.363921
43.457031,1.307861
43.701172,1.452644
43.945312,1.576079
44.189453,1.279973
44.433594,1.380384
44.677734,1.244204
44.921875,1.197720
45.166016,0.822330
45.410156,0.960507
45.654297,1.327723
45.898438,1.142193
46.142578,1.269765
46.386719,1.201175
46.630859,1.217477
46.875000,1.069150
47.119141,0.861501
47.363281,1.191396
47.607422,1.275344
47.851562,1.487787
48.095703,1.990472
48.339844,1.456002
48.583984,1.772335
48.828125,1.680212
49.072266,1.638708
49.316406,1.511193
49.560547,1.515451
49.804688,2.086187
50.048828,1.805825
50.292969,1.331691
50.537109,1.261297
50.781250,0.955442
51.025391,1.132304
51.269531,1.299978
51.513672,1.310741
51.757812,0.926267
52.001953,1.021835
52.246094,0.997747
52.490234,1.045444
52.734375,1.333724
52.978516,1.077656
53.222656,0.951318
53.466797,0.730234
53.710938,0.922848
53.955078,1.015578
54.199219,0.847343
54.443359,1.230249
54.687500,1.435718
54.931641,1.221414
55.175781,1.476685
55.419922,1.094055
55.664062,1.421628
55.908203,1.495788
56.152344,1.344154
56.396484,1.244845
56.640625,1.377472
56.884766,1.091100
57.128906,1.435175
57.373047,1.288158
57.617188,1.668810
57.861328,1.504032
58.105469,1.224239
58.349609,1.376116
58.593750,1.524251
58.837891,1.391914
59.082031,1.202180
59.326172,1.108363
59.570312,0.805771
59.814453,0.518712
60.058594,0.737747
60.302734,0.970417
60.546875,1.013391
60.791016,0.775844
61.035156,0.966596
61.279297,1.094067
61.523438,1.438702
61.767578,0.638108
62.011719,0.818381
62.255859,0.921828
62.500000,1.033816
62.744141,0.747217
62.988281,1.074687
63.232422,1.011646
63.476562,1.258272
63.720703,1.178965
63.964844,1.182832
64.208984,0.908275
64.453125,1.135893
64.697266,0.985629
64.941406,1.145093
65.185547,1.351159
65.429688,1.419357
65.673828,1.328511
65.917969,1.211077
66.162109,1.396655
66.406250,0.924225
66.650391,0.678637
66.894531,0.877828
67.138672,0.973850
67.382812,0.977693
67.626953,1.175175
67.871094,0.884228
68.115234,0.752135
68.359375,0.823928
68.603516,0.692543
68.847656,1.038353
69.091797,1.095158
69.335938,0.885224
69.580078,1.308041
69.824219,0.798773
70.068359,1.331885
70.312500,1.044231
70.556641,1.145701
70.800781,1.195723
71.044922,1.101669
71.289062,1.214565
71.533203,1.115417
71.777344,1.473612
72.021484,0.978602
72.265625,0.912727
72.509766,1.266761
72.753906,1.146068
72.998047,1.065749
73.242188,0.856706
73.486328,1.278329
73.730469,1.383507
73.974609,1.130162
74.218750,1.091645
74.462891,1.302521
74.707031,1.097812
74.951172,1.057740
75.195312,0.804213
75.439453,0.879427
75.683594,1.017986
75.927734,1.270509
76.171875,1.101489
76.416016,0.989308
76.660156,1.167457
76.904297,1.206966
77.148438,1.142367
77.392578,1.066912
77.636719,1.344559
77.880859,0.915336
78.125000,1.105684
78.369141,1.129841
78.613281,0.986563
78.857422,0.946777
79.101562,1.098352
79.345703,0.947138
79.589844,0.986167
79.833984,0.802501
80.078125,1.124205
80.322266,1.047091
80.566406,1.291586
80.810547,1.077472
81.054688,0.893249
81.298828,0.925487
81.542969,0.972751
81.787109,1.148625
82.031250,1.123751
82.275391,0.962144
82.519531,0.956029
82.763672,1.024305
83.007812,1.255171
83.251953,1.340404
83.496094,1.605740
83.740234,1.359433
83.984375,1.209404
84.228516,1.202461
84.472656,1.092568
84.716797,1.030034
84.960938,1.426653
85.205078,1.050631
85.449219,1.122471
85.693359,1.323393
85.937500,1.144948
86.181641,1.017952
86.425781,1.416798
86.669922,1.767055
86.914062,1.623252
87.158203,1.710887
87.402344,1.912555
87.646484,2.351451
87.890625,1.583769
88.134766,1.351177
88.378906,1.368913
88.623047,0.974145
88.867188,1.114616
89.111328,1.625323
89.355469,1.377111
89.599609,1.216270
89.843750,1.424401
90.087891,0.902088
90.332031,1.414803
90.576172,1.274555
90.820312,1.044912
91.064453,1.139593
91.308594,1.050194
91.552734,1.511824
91.796875,1.472870
92.041016,1.761709
92.285156,1.808986
92.529297,1.822763
92.773438,1.603269
93.017578,0.985947
93.261719,1.533213
93.505859,1.490820
93.750000,1.334184
93.994141,1.143065
94.238281,1.126465
94.482422,0.777058
94.726562,0.960738
94.970703,0.859229
95.214844,1.312027
95.458984,1.122260
95.703125,1.055129
95.947266,1.037639
96.191406,0.961965
96.435547,0.766918
96.679688,1.074226
96.923828,1.258853
97.167969,1.280217
97.412109,0.993883
97.656250,1.659595
97.900391,2.114306
98.144531,1.919587
98.388672,1.549068
98.632812,1.211540
98.876953,1.230846
99.121094,1.200158
99.365234,1.093618
99.609375,1.389417
99.853516,1.234898
100.097656,1.073654
100.341797,1.088317
100.585938,0.943322
100.830078,1.083279
101.074219,1.593196
101.318359,1.172771
101.562500,0.957727
101.806641,1.014552
102.050781,1.363743
102.294922,1.223243
102.539062,1.068746
102.783203,1.170691
103.027344,1.403927
103.271484,1.242100
103.515625,1.271159
103.759766,1.256741
104.003906,0.791643
104.248047,1.316766
104.492188,1.567417
104.736328,1.339459
104.980469,1.280874
105.224609,1.150187
105.468750,0.864516
105.712891,1.115525
105.957031,0.903364
106.201172,0.907416
106.445312,0.859455
106.689453,0.947560
106.933594,1.123352
107.177734,0.940829
107.421875,1.151966
107.666016,1.010229
107.910156,0.794543
108.154297,0.843343
108.398438,0.922852
108.642578,0.909015
108.886719,1.394677
109.130859,1.180898
109.375000,1.247065
109.619141,1.356725
109.863281,1.033792
110.107422,1.101349
110.351562,0.916038
110.595703,1.102091
110.839844,1.049326
111.083984,1.346215
111.328125,0.894274
111.572266,1.478205
111.816406,0.783676
112.060547,1.263976
112.304688,1.272107
112.548828,1.068860
112.792969,1.345560
113.037109,1.373682
113.281250,1.443097
113.525391,1.143231
113.769531,1.271860
114.013672,1.296265
114.257812,1.613010
114.501953,1.283322
114.746094,1.253799
114.990234,1.491317
115.234375,1.417140
115.478516,1.630384
115.722656,1.041773
115.966797,1.490530
116.210938,1.389498
116.455078,1.136176
116.699219,1.208357
116.943359,1.039977
117.187500,0.988102
117.431641,0.785518
117.675781,0.896514
117.919922,1.040841
118.164062,1.358818
118.408203,1.153976
118.652344,1.489065
118.896484,1.378310
119.140625,1.570641
119.384766,1.461346
119.628906,1.162165
119.873047,1.160694
120.117188,0.933009
120.361328,1.125348
120.605469,1.065296
120.849609,1.162895
121.093750,0.896395
121.337891,1.169245
121.582031,1.217035
121.826172,1.023346
122.070312,1.287725
122.314453,1.213023
122.558594,0.985388
122.802734,1.143915
123.046875,1.340898
123.291016,0.996905
123.535156,0.988337
123.779297,1.032818
124.023438,0.542613
124.267578,0.742281
124.511719,1.089738
124.755859,0.623599
125.000000,0.772764
125.244141,0.696740
125.488281,1.271470
125.732422,0.980457
125.976562,1.036264
126.220703,1.162633
126.464844,1.013360
126.708984,0.782017
126.953125,1.318174
127.197266,1.462637
127.441406,1.117526
127.685547,1.014489
127.929688,1.262935
128.173828,1.254669
128.417969,0.934324
128.662109,0.906020
128.906250,1.412524
129.150391,0.963777
129.394531,1.119055
129.638672,1.527684
129.882812,1.084898
130.126953,0.979859
130.371094,1.410277
130.615234,1.668075
130.859375,1.895707
131.103516,1.550423
131.347656,1.555303
131.591797,1.304950
131.835938,1.291270
132.080078,1.419423
132.324219,1.196892
132.568359,1.210988
132.812500,1.485197
133.056641,1.164086
133.300781,1.099703
133.544922,0.928556
133.789062,1.043104
134.033203,0.998319
134.277344,1.148232
134.521484,1.175115
134.765625,0.883255
135.009766,1.177588
135.253906,1.260239
135.498047,1.277140
135.742188,0.938385
135.986328,0.937254
136.230469,1.021363
136.474609,1.051800
136.718750,0.876954
