freq_hz,psd_fake
0.000000,0.000002
0.781250,0.000011
1.562500,0.000010
2.343750,0.000006
3.125000,0.000006
3.906250,0.000004
4.687500,0.000004
5.468750,0.000005
6.250000,0.000006
7.031250,0.000005
7.812500,0.000004
8.593750,0.000005
9.375000,0.000004
10.156250,0.000003
10.937500,0.000002
11.718750,0.000003
12.500000,0.000004
13.281250,0.000002
14.062500,0.000002
14.843750,0.000002
15.625000,0.000001
16.406250,0.000001
17.187500,0.000001
17.968750,0.000001
18.750000,0.000001
19.531250,0.000001
20.312500,0.000001
21.093750,0.000001
21.875000,0.000001
22.656250,0.000001
23.437500,0.000001
24.218750,0.000001
25.000000,0.000001
25.781250,0.000001
26.562500,0.000001
27.343750,0.000001
28.125000,0.000001
28.906250,0.000001
29.687500,0.000001
30.468750,0.000001
31.250000,0.000001
32.031250,0.000001
32.812500,0.000001
33.593750,0.000001
34.375000,0.000001
35.156250,0.000001
35.937500,0.000001
36.718750,0.000001
37.500000,0.000001
38.281250,0.000001
39.062500,0.000001
39.843750,0.000001
40.625000,0.000001
41.406250,0.000001
42.187500,0.000001
42.968750,0.000001
43.750000,0.000001
44.531250,0.000003
45.312500,0.000010
46.093750,0.000012
46.875000,0.000006
47.656250,0.000005
48.437500,0.000018
49.218750,0.000029
50.000000,0.000018
50.781250,0.000008
51.562500,0.000006
52.343750,0.000005
53.125000,0.000006
53.906250,0.000012
54.687500,0.000020
55.468750,0.000025
56.250000,0.000022
57.031250,0.000022
57.812500,0.000057
58.593750,0.000050
59.375000,0.000024
60.156250,0.000018
60.937500,0.000009
61.718750,0.000006
62.500000,0.000008
63.281250,0.000008
64.062500,0.000010
64.843750,0.000015
65.625000,0.000019
66.406250,0.000013
67.187500,0.000013
67.968750,0.000018
68.750000,0.000015
69.531250,0.000019
70.312500,0.000030
71.093750,0.000020
71.875000,0.000051
72.656250,0.000119
73.437500,0.000141
74.218750,0.000123
75.000000,0.000071
75.781250,0.000053
76.562500,0.000046
77.343750,0.000034
78.125000,0.000032
78.906250,0.000050
79.687500,0.000061
80.468750,0.000036
81.250000,0.000030
82.031250,0.000042
82.812500,0.000058
83.593750,0.000043
84.375000,0.000039
85.156250,0.000024
85.937500,0.000018
86.718750,0.000022
87.500000,0.000041
88.281250,0.000033
89.062500,0.000027
89.843750,0.000029
90.625000,0.000031
91.406250,0.000122
92.187500,0.000729
92.968750,0.000727
93.750000,0.000131
94.531250,0.000047
95.312500,0.000068
96.093750,0.000121
96.875000,0.000237
97.656250,0.001197
98.437500,0.002933
99.218750,0.001256
100.000000,0.000164
100.781250,0.000079
101.562500,0.000069
102.343750,0.000079
103.125000,0.000074
103.906250,0.000079
104.687500,0.000112
105.468750,0.000119
106.250000,0.000099
107.031250,0.000118
107.812500,0.000124
108.593750,0.000187
109.375000,0.000419
110.156250,0.000534
110.937500,0.000291
111.718750,0.000261
112.500000,0.000316
113.281250,0.000278
114.062500,0.000204
114.843750,0.000275
115.625000,0.000518
116.406250,0.000851
117.187500,0.000742
117.968750,0.000501
118.750000,0.000227
119.531250,0.000127
120.312500,0.000078
121.093750,0.000095
121.875000,0.000118
122.656250,0.000089
123.437500,0.000067
124.218750,0.000071
125.000000,0.000073
