freq_hz,psd_real
0.000000,0.000000
0.488281,0.000000
0.976562,0.000000
1.464844,0.000000
1.953125,0.000000
2.441406,0.000000
2.929688,0.000000
3.417969,0.000000
3.906250,0.000000
4.394531,0.000000
4.882812,0.000000
5.371094,0.000000
5.859375,0.000000
6.347656,0.000000
6.835938,0.000000
7.324219,0.000000
7.812500,0.000000
8.300781,0.000000
8.789062,0.000000
9.277344,0.000000
9.765625,0.000000
10.253906,0.000000
10.742188,0.000000
11.230469,0.000000
11.718750,0.000000
12.207031,0.000000
12.695312,0.000000
13.183594,0.000000
13.671875,0.000000
14.160156,0.000000
14.648438,0.000000
15.136719,0.000000
15.625000,0.000000
16.113281,0.000000
16.601562,0.000000
17.089844,0.000000
17.578125,0.000000
18.066406,0.000000
18.554688,0.000000
19.042969,0.000000
19.531250,0.000000
20.019531,0.000000
20.507812,0.000000
20.996094,0.000000
21.484375,0.000000
21.972656,0.000000
22.460938,0.000000
22.949219,0.000000
23.437500,0.000000
23.925781,0.000000
24.414062,0.000000
24.902344,0.000000
25.390625,0.000000
25.878906,0.000000
26.367188,0.000000
26.855469,0.000000
27.343750,0.000000
27.832031,0.000000
28.320312,0.000000
28.808594,0.000000
29.296875,0.000000
29.785156,0.000000
30.273438,0.000000
30.761719,0.000000
31.250000,0.000000
31.738281,0.000000
32.226562,0.000000
32.714844,0.000001
33.203125,0.000000
33.691406,0.000000
34.179688,0.000000
34.667969,0.000000
35.156250,0.000000
35.644531,0.000001
36.132812,0.000001
36.621094,0.000000
37.109375,0.000000
37.597656,0.000001
38.085938,0.000001
38.574219,0.000001
39.062500,0.000001
39.550781,0.000001
40.039062,0.000000
40.527344,0.000000
41.015625,0.000001
41.503906,0.000001
41.992188,0.000001
42.480469,0.000001
42.968750,0.000001
43.457031,0.000002
43.945312,0.000004
44.433594,0.000002
44.921875,0.000001
45.410156,0.000002
45.898438,0.000014
46.386719,0.000020
46.875000,0.000006
47.363281,0.000002
47.851562,0.000003
48.339844,0.000011
48.828125,0.000046
49.316406,0.000059
49.804688,0.000024
50.292969,0.000006
50.781250,0.000005
51.269531,0.000003
51.757812,0.000003
52.246094,0.000004
52.734375,0.000007
53.222656,0.000008
53.710938,0.000012
54.199219,0.000033
54.687500,0.000156
55.175781,0.000134
55.664062,0.000024
56.152344,0.000010
56.640625,0.000008
57.128906,0.000016
57.617188,0.000076
58.105469,0.000159
58.593750,0.000191
59.082031,0.000075
59.570312,0.000017
60.058594,0.000021
60.546875,0.000012
61.035156,0.000017
61.523438,0.000015
62.011719,0.000016
62.500000,0.000013
62.988281,0.000024
63.476562,0.000021
63.964844,0.000019
64.453125,0.000044
64.941406,0.000120
65.429688,0.000177
65.917969,0.000137
66.406250,0.000062
66.894531,0.000021
67.382812,0.000017
67.871094,0.000016
68.359375,0.000011
68.847656,0.000010
69.335938,0.000016
69.824219,0.000022
70.312500,0.000034
70.800781,0.000046
71.289062,0.000036
71.777344,0.000023
72.265625,0.000050
72.753906,0.000119
73.242188,0.000294
73.730469,0.000423
74.218750,0.000125
