freq_hz,psd_real
0.000000,0.000000
0.976562,0.000000
1.953125,0.000000
2.929688,0.000000
3.906250,0.000000
4.882812,0.000000
5.859375,0.000000
6.835938,0.000000
7.812500,0.000000
8.789062,0.000000
9.765625,0.000000
10.742188,0.000000
11.718750,0.000000
12.695312,0.000000
13.671875,0.000000
14.648438,0.000000
15.625000,0.000000
16.601562,0.000000
17.578125,0.000000
18.554688,0.000000
19.531250,0.000000
20.507812,0.000000
21.484375,0.000000
22.460938,0.000000
23.437500,0.000000
24.414062,0.000000
25.390625,0.000000
26.367188,0.000000
27.343750,0.000000
28.320312,0.000000
29.296875,0.000000
30.273438,0.000000
31.250000,0.000000
32.226562,0.000000
33.203125,0.000000
34.179688,0.000000
35.156250,0.000000
36.132812,0.000000
37.109375,0.000001
38.085938,0.000001
39.062500,0.000001
40.039062,0.000000
41.015625,0.000001
41.992188,0.000001
42.968750,0.000002
43.945312,0.000003
44.921875,0.000003
45.898438,0.000010
46.875000,0.000008
47.851562,0.000007
48.828125,0.000032
49.804688,0.000024
50.781250,0.000005
51.757812,0.000004
52.734375,0.000008
53.710938,0.000027
54.687500,0.000105
55.664062,0.000053
56.640625,0.000013
57.617188,0.000082
58.593750,0.000128
59.570312,0.000044
60.546875,0.000019
61.523438,0.000017
62.500000,0.000020
63.476562,0.000025
64.453125,0.000064
65.429688,0.000122
66.406250,0.000081
67.382812,0.000034
68.359375,0.000048
69.335938,0.000054
70.312500,0.000049
71.289062,0.000042
72.265625,0.000079
73.242188,0.000237
74.218750,0.000182
75.195312,0.000053
76.171875,0.000039
77.148438,0.000039
78.125000,0.000041
79.101562,0.000047
80.078125,0.000049
81.054688,0.000037
82.031250,0.000058
83.007812,0.000079
83.984375,0.000070
84.960938,0.000063
85.937500,0.000102
86.914062,0.000467
87.890625,0.000544
88.867188,0.000157
89.843750,0.000073
90.820312,0.000100
91.796875,0.000391
92.773438,0.000513
93.750000,0.000145
94.726562,0.000070
95.703125,0.000112
96.679688,0.000341
97.656250,0.002155
98.632812,0.002625
99.609375,0.000482
100.585938,0.000209
101.562500,0.000137
102.539062,0.000116
103.515625,0.000114
104.492188,0.000160
105.468750,0.000155
106.445312,0.000135
107.421875,0.000168
108.398438,0.000214
109.375000,0.000529
110.351562,0.000652
111.328125,0.000332
112.304688,0.000241
113.281250,0.000225
114.257812,0.000345
115.234375,0.000543
116.210938,0.001076
117.187500,0.000943
118.164062,0.000477
119.140625,0.000229
120.117188,0.000144
121.093750,0.000152
122.070312,0.000153
123.046875,0.000120
124.023438,0.000107
125.000000,0.000083
125.976562,0.000052
126.953125,0.000052
127.929688,0.000052
128.906250,0.000042
129.882812,0.000169
130.859375,0.000442
131.835938,0.000328
132.812500,0.000106
133.789062,0.000045
134.765625,0.000032
135.742188,0.000022
136.718750,0.000033
137.695312,0.000067
138.671875,0.000114
139.648438,0.000070
140.625000,0.000032
141.601562,0.000026
142.578125,0.000021
143.554688,0.000020
144.531250,0.000027
145.507812,0.000050
146.484375,0.000202
147.460938,0.000471
148.437500,0.000203
149.414062,0.000072
150.390625,0.000054
151.367188,0.000030
152.343750,0.000030
153.320312,0.000033
154.296875,0.000027
155.273438,0.000033
156.250000,0.000055
157.226562,0.000062
158.203125,0.000078
159.179688,0.000099
160.156250,0.000130
161.132812,0.000147
162.109375,0.000142
163.085938,0.000129
164.062500,0.000211
165.039062,0.000289
166.015625,0.000136
166.992188,0.000080
167.968750,0.000070
168.945312,0.000051
169.921875,0.000042
170.898438,0.000037
171.875000,0.000040
172.851562,0.000044
173.828125,0.000138
174.804688,0.000235
175.781250,0.000138
